phys_zone,season,n_samples,P_exceed_As,P_exceed_Mn2+,P_exceed_Fe2+,P_exceed_Cr3+,P_all_4_empirical,P_all_4_independent,dependence_ratio,P_ge2_exceed,P_ge3_exceed,mean_n_exceed
Barind_Tract,Dry,87,0.1839080459770115,0.9540229885057471,0.4367816091954023,0.0,0.0,0.0,,0.4942528735632184,0.12643678160919541,1.5747126436781609
Barind_Tract,Wet,87,0.26436781609195403,0.7126436781609196,0.45977011494252873,0.0,0.0,0.0,,0.45977011494252873,0.12643678160919541,1.4367816091954022
Northern_Terrace,Dry,65,0.12307692307692308,1.0,0.6615384615384615,0.0,0.0,0.0,,0.6615384615384615,0.12307692307692308,1.7846153846153847
Northern_Terrace,Wet,65,0.24615384615384617,0.4461538461538462,0.6615384615384615,0.0,0.0,0.0,,0.38461538461538464,0.16923076923076924,1.353846153846154
Brahmaputra_Floodplain,Dry,102,0.17647058823529413,0.9215686274509803,0.5196078431372549,0.0,0.0,0.0,,0.5490196078431373,0.14705882352941177,1.6176470588235294
Brahmaputra_Floodplain,Wet,105,0.26666666666666666,0.47619047619047616,0.638095238095238,0.01904761904761905,0.0,0.0015433898427095706,0.0,0.4380952380952381,0.0761904761904762,1.4
Ganges_Floodplain,Dry,113,0.39823008849557523,0.9911504424778761,0.672566371681416,0.0,0.0,0.0,,0.7256637168141593,0.336283185840708,2.061946902654867
Ganges_Floodplain,Wet,115,0.5217391304347826,0.6347826086956522,0.6869565217391305,0.0,0.0,0.0,,0.6347826086956522,0.2608695652173913,1.8434782608695652
GBM_Delta,Dry,265,0.3886792452830189,0.939622641509434,0.569811320754717,0.13962264150943396,0.026415094339622643,0.029055727071644936,0.909118339200011,0.6792452830188679,0.37735849056603776,2.0377358490566038
GBM_Delta,Wet,258,0.4844961240310077,0.49224806201550386,0.6937984496124031,0.050387596899224806,0.007751937984496124,0.00833741258274718,0.9297774228586705,0.6124031007751938,0.23255813953488372,1.7209302325581395
Meghna_Floodplain,Dry,143,0.32867132867132864,0.958041958041958,0.6083916083916084,0.02097902097902098,0.0,0.004018970168425388,0.0,0.6993006993006993,0.24475524475524477,1.916083916083916
Meghna_Floodplain,Wet,146,0.4520547945205479,0.6575342465753424,0.6712328767123288,0.0,0.0,0.0,,0.6438356164383562,0.2054794520547945,1.7808219178082192
Eastern_Hills,Dry,61,0.03278688524590164,0.8852459016393442,0.6885245901639344,0.04918032786885246,0.0,0.0009828222063217394,0.0,0.6721311475409836,0.06557377049180328,1.6557377049180328
Eastern_Hills,Wet,61,0.08196721311475409,0.5245901639344263,0.47540983606557374,0.04918032786885246,0.0,0.0010053560487947246,0.0,0.3442622950819672,0.04918032786885246,1.1311475409836065
