dw,ratio,daly
0.0,1.0492498023441703,485086.72557128983
0.005,1.0795210534597148,499081.659904162
0.01,1.1097923045752596,513076.5942370342
0.015,1.140063555690804,527071.5285699064
0.02,1.1703348068063486,541066.4629027785
0.025,1.2006060579218933,555061.3972356508
0.03,1.230877309037438,569056.3315685231
0.035,1.2611485601529826,583051.2659013952
0.04,1.291419811268527,597046.2002342673
0.043,1.3095825619378538,605443.1608339907
0.045,1.3216910623840714,611041.1345671394
0.05,1.3519623134996164,625036.0689000117
0.055,1.3822335646151611,639031.003232884
0.06,1.4125048157307056,653025.9375657561
0.065,1.4427760668462504,667020.8718986284
0.07,1.4730473179617949,681015.8062315006
0.075,1.5033185690773394,695010.7405643727
0.08,1.5335898201928844,709005.674897245
0.085,1.5638610713084289,723000.6092301172
0.09,1.5941323224239734,736995.5435629893
0.095,1.6244035735395181,750990.4778958616
0.1,1.6546748246550627,764985.4122287338
0.105,1.6849460757706074,778980.346561606
0.11,1.7152173268861517,792975.2808944781
0.115,1.7454885780016969,806970.2152273505
0.12,1.7757598291172414,820965.1495602226
0.125,1.8060310802327864,834960.083893095
0.13,1.8363023313483304,848955.018225967
0.135,1.8665735824638754,862949.9525588393
0.14,1.8968448335794201,876944.8868917115
0.145,1.9271160846949644,890939.8212245835
0.15,1.957387335810509,904934.7555574557
0.155,1.987658586926054,918929.6898903281
0.16,2.0179298380415984,932924.6242232003
0.165,2.048201089157143,946919.5585560724
0.17,2.078472340272688,960914.4928889448
0.175,2.108743591388232,974909.4272218168
0.18,2.139014842503777,988904.3615546891
0.185,2.1692860936193212,1002899.2958875612
0.19,2.1995573447348664,1016894.2302204336
0.195,2.229828595850411,1030889.1645533057
0.2,2.2600998469659555,1044884.0988861779
0.205,2.2903710980814997,1058879.03321905
0.21,2.3206423491970445,1072873.9675519222
0.215,2.3509136003125892,1086868.9018847945
0.22,2.381184851428134,1100863.8362176667
0.225,2.4114561025436783,1114858.7705505388
0.23,2.4417273536592234,1128853.704883411
0.235,2.4719986047747677,1142848.639216283
0.24,2.502269855890312,1156843.5735491551
0.245,2.532541107005857,1170838.5078820277
0.25,2.562812358121402,1184833.4422149
0.255,2.5930836092369467,1198828.3765477722
0.26,2.623354860352491,1212823.3108806442
0.265,2.6536261114680357,1226818.2452135165
0.27,2.68389736258358,1240813.1795463886
0.275,2.7141686136991248,1254808.1138792608
0.28,2.7444398648146695,1268803.048212133
0.285,2.774711115930214,1282797.9825450052
0.29,2.804982367045758,1296792.9168778772
0.295,2.8352536181613037,1310787.8512107497
0.3,2.8655248692768485,1324782.785543622
0.305,2.8957961203923928,1338777.719876494
0.31,2.926067371507937,1352772.654209366
0.315,2.956338622623482,1366767.5885422383
0.32,2.986609873739026,1380762.5228751104
0.325,3.0168811248545713,1394757.457207983
0.33,3.0471523759701156,1408752.391540855
0.335,3.0774236270856608,1422747.3258737274
0.34,3.107694878201205,1436742.2602065995
0.345,3.1379661293167493,1450737.1945394715
0.35,3.168237380432294,1464732.1288723438
0.355,3.198508631547839,1478727.063205216
0.36,3.228779882663383,1492721.9975380881
0.361,3.2348341328864922,1495520.9844046626
0.365,3.2590511337789283,1506716.9318709604
0.37,3.2893223848944735,1520711.866203833
0.375,3.3195936360100173,1534706.8005367047
0.38,3.349864887125563,1548701.7348695775
0.385,3.380136138241107,1562696.6692024493
0.39,3.410407389356651,1576691.6035353213
0.395,3.440678640472196,1590686.5378681936
0.4,3.4709498915877406,1604681.4722010659
