pair,best_copula,kendall_tau,p_value,AIC_Clayton,AIC_Frank,AIC_Gumbel,AIC_t-copula
As-Mn2+,Frank,0.03100837476794512,0.057977886797461756,-0.18568580066222884,-3.4849299349702774,8618.228664160222,6149.104399134676
As-Fe2+,Frank,0.19736372870275928,1.426554037685586e-33,-38.06713497655278,-151.43888339813913,8229.94733937869,6044.629007741567
As-Cr3+,Clayton,0.011438510589370463,0.49344092268015893,-2.3079540733221213,1.836236794328867,8793.385389292636,6151.260630988707
Mn2+-Fe2+,Frank,0.15028037241619377,3.4696356019182494e-20,-26.20860094767711,-82.04578120672528,5731.162287865246,6075.105995523906
Mn2+-Cr3+,Clayton,0.0942850525533943,1.600672877902197e-08,-30.524501117710088,-27.212337187242944,5884.7715412438665,6128.733768910823
Fe2+-Cr3+,Frank,0.07626490494795084,4.792828885612513e-06,-0.7173770904932315,-15.9527862895334,6067.893000122249,6135.814700840172
