pair,lambda_U_0.9,lambda_L_0.9,lambda_U_0.95,lambda_L_0.95,lambda_U_0.99,lambda_L_0.99
As-Mn2+,0.060240963855421686,0.031578947368421054,0.033707865168539325,0.01904761904761905,0.0,0.0
As-Fe2+,0.13253012048192772,0.24912280701754386,0.06741573033707865,0.11904761904761904,0.0,0.030303030303030304
As-Cr3+,0.04216867469879518,0.08070175438596491,0.0,0.0380952380952381,0.0,0.0
Mn2+-Fe2+,0.16279069767441862,0.12087912087912088,0.10294117647058823,0.06976744186046512,0.038461538461538464,
Mn2+-Cr3+,0.21705426356589147,0.0,0.058823529411764705,0.0,0.0,
Fe2+-Cr3+,0.1791044776119403,0.06808510638297872,0.06451612903225806,0.027522935779816515,0.0,0.0
