scenario,description,annual_DALY,annual_DALY_averted,pct_reduction,annual_cancer_cases,annual_cost_usd,ICER_usd_per_daly,very_cost_effective,cost_effective
S0_baseline,No intervention,941883.6176102154,0.0,0.0,356.67962919921996,0.0,inf,False,False
S1_deepen_wells,Deepen shallow/intermediate wells to >150 m,570743.5818183613,371140.03579185414,39.404022838142716,290.43487480241924,316214067.99531066,852.0074298118905,True,True
S2_po4_removal,PO4 removal sorbent at wellhead,708434.6363639387,233448.98124627676,24.785331954131742,161.0876861981517,48060844.07971864,205.8730084112764,True,True
S3_multi_treatment,Multi-contaminant treatment (Fe oxidation + As/Mn removal),237682.6598379469,704200.9577722686,74.76517741746004,76.52191345764972,195724501.7584994,277.93842027376894,True,True
S4_seasonal_switch,Switch to deep wells in wet season only,495594.33053741493,446289.2870728005,47.38263610584325,142.2657489781243,26990562.719812427,60.47772935990197,True,True
S5_fertilizer_policy,Reduce PO4 fertilizer 30% in high-As zones,879798.6779570424,62084.93965317309,6.591572301756077,289.7326955733646,25000000.0,402.6741451253433,True,True
