metric,original,corrected,ratio
DALY_multi (national),58629816.5359127,941883.6176102154,62.24741086873408
DALY_as_only (national),15824581.152507478,462317.6558709907,34.22880556593606
cancer_cases (national),26291.726567496342,356.6796291992201,73.71244224550695
