parameter,kwarg,low_value,default_value,high_value,DALY_at_low,DALY_at_high,DALY_baseline,pct_low,pct_high,swing_DALY,swing_pct
Hill $n$ (steepness),n,1.275,1.5,1.725,973745.3953723126,912897.3797336427,941883.6176102154,3.3827722625581025,-3.077475532499206,60848.01563866995,6.460247795057309
Ingestion rate (L/day),ir,2.0,2.5,3.0,773151.3885948857,1087750.9270318742,941883.6176102154,-17.91433950655643,15.486765742009515,314599.5384369885,33.40110524856595
Hill $K$ (half-max HI),k,3.0,4.0,5.0,1171857.5510969954,774289.4518180374,941883.6176102154,24.416385335406822,-17.79351107278037,397568.09927895793,42.20989640818719
Hill $P_{\max}$,p_max,0.135,0.18,0.225,707835.2922366014,1175931.9429838294,941883.6176102154,-24.848964457779914,24.8489644577799,468096.65074722806,49.69792891555981
