contaminant_i,contaminant_j,P_j_high_given_i_high,chi2_pvalue
As,As,1.0,
As,Mn2+,0.018823529411764704,0.77508952398606
As,Fe2+,0.0988235294117647,0.20789470824599585
As,Cr3+,0.0,
As,PO43-,0.46588235294117647,2.1084046598730907e-34
As,NO3-,0.24,2.5504818049408393e-06
Mn2+,As,0.2962962962962963,0.77508952398606
Mn2+,Mn2+,1.0,
Mn2+,Fe2+,0.1111111111111111,
Mn2+,Cr3+,0.0,
Mn2+,PO43-,0.2222222222222222,0.9637334433323497
Mn2+,NO3-,0.25925925925925924,0.28940394046876733
Fe2+,As,0.302158273381295,0.20789470824599585
Fe2+,Mn2+,0.02158273381294964,
Fe2+,Fe2+,1.0,
Fe2+,Cr3+,0.014388489208633094,
Fe2+,PO43-,0.43884892086330934,4.6133591429316644e-08
Fe2+,NO3-,0.23741007194244604,0.023788936337957194
Cr3+,As,0.0,
Cr3+,Mn2+,0.0,
Cr3+,Fe2+,0.25,
Cr3+,Cr3+,1.0,
Cr3+,PO43-,0.375,
Cr3+,NO3-,0.75,
PO43-,As,0.4841075794621027,2.1084046598730907e-34
PO43-,Mn2+,0.014669926650366748,0.9637334433323497
PO43-,Fe2+,0.1491442542787286,4.613359142931674e-08
PO43-,Cr3+,0.007334963325183374,
PO43-,PO43-,1.0,
PO43-,NO3-,0.3056234718826406,3.615823784582997e-18
NO3-,As,0.36823104693140796,2.5504818049408393e-06
NO3-,Mn2+,0.02527075812274368,0.28940394046876733
NO3-,Fe2+,0.11913357400722022,0.023788936337957155
NO3-,Cr3+,0.021660649819494584,
NO3-,PO43-,0.45126353790613716,3.6158237845829695e-18
NO3-,NO3-,1.0,
