metric,median,ci_lo,ci_hi
annual_DALY_multi,908249.4933925117,340890.19375886035,1993127.3774908897
annual_DALY_as_only,445043.56831814174,139266.42706778835,1128319.0448680131
annual_cancer_cases,362.8307372363008,193.77971625433355,685.7828346807886
