ssp,year,phys_zone,HI_median,HI_p2.5,HI_p25,HI_p75,HI_p97.5,HI_exceed_pct,CR_median,CR_p2.5,CR_p97.5,CR_exceed_pct
SSP2-4.5,2030,Barind_Tract,1.8468275845102053,0.777568808020574,1.3724673207422229,2.4441801724149834,4.156170421097989,92.08,0.00012483336539925076,2.694316101978831e-05,0.000394784843730925,62.839999999999996
SSP2-4.5,2030,Brahmaputra_Floodplain,1.2577843900233288,0.4903643742092291,0.9250229268139868,1.7371654384772484,3.074045999546607,68.96,0.00011255607120912509,1.3667649144555763e-05,0.0003742829134904865,57.699999999999996
SSP2-4.5,2030,Eastern_Hills,1.1591268666513583,0.4428598561296319,0.8405194874005608,1.5868723696065499,3.051248474286659,62.44,9.845415942800602e-05,4.922730267474474e-06,0.0003629064854953874,49.02
SSP2-4.5,2030,GBM_Delta,1.884705215212433,0.8031897311818044,1.434546194028984,2.510883325616903,4.318741871793693,93.54,0.00023431912553650418,9.688621584072169e-05,0.0005627767620951963,97.16
SSP2-4.5,2030,Ganges_Floodplain,2.515823930002939,1.087595840660959,1.901470136023738,3.2940058248921296,5.485135348467311,98.42,0.00025555322956435423,0.00010783128496780404,0.0005959374611793687,98.26
SSP2-4.5,2030,Meghna_Floodplain,1.7739651424696903,0.7230456572480156,1.3353605185665778,2.359323808352863,4.028563042671561,90.74,0.00019680752212016222,7.13105817262133e-05,0.0005002287876410779,92.34
SSP2-4.5,2030,Northern_Terrace,1.6175095602628973,0.6899287996137258,1.2062491373156536,2.1766770633480794,3.677098568524161,86.4,0.0001401433829309687,3.473201968807825e-05,0.000425918171904964,70.66
SSP2-4.5,2040,Barind_Tract,2.1308835878731465,0.8777768260018624,1.5691779484818051,2.906772701157176,5.242262548001635,95.72,0.00018155431280001,2.2708916306912623e-05,0.0006068697933958402,79.14
SSP2-4.5,2040,Brahmaputra_Floodplain,1.5508225980036394,0.5481021966640123,1.0938351571076477,2.1918988443359577,4.374324724322164,80.10000000000001,0.00017110662450316261,1.9473190830081763e-05,0.0006133760940617789,76.86
SSP2-4.5,2040,Eastern_Hills,1.4335835612250152,0.4895673577920735,0.9950409458083291,2.043375612389199,3.982959269316293,74.74,0.00015897511699125197,1.973796080559467e-07,0.0005459168928761835,72.54
SSP2-4.5,2040,GBM_Delta,2.15744999018158,0.8646237931973185,1.5916062206689447,2.9248682483400277,5.250597633854889,95.28,0.00029535049174866544,0.00010960218488888575,0.0007796413004950556,98.11999999999999
SSP2-4.5,2040,Ganges_Floodplain,2.79993937501306,1.183184122075409,2.075507320859975,3.749295335938916,6.39270240666869,98.98,0.00031604583079245397,0.00012070775978693803,0.0008071184750300792,98.76
SSP2-4.5,2040,Meghna_Floodplain,2.068486895981347,0.8002515226722668,1.5168920664348104,2.8386640085605808,5.202522885057294,93.60000000000001,0.0002605978061157704,8.041622193022059e-05,0.0007171405477626443,95.04
SSP2-4.5,2040,Northern_Terrace,1.881175060413605,0.7163111778792919,1.374279455395929,2.57937166556306,4.66771020452684,90.66,0.0001961220856005802,3.435684086442721e-05,0.0005946820479030635,83.84
SSP2-4.5,2050,Barind_Tract,2.580174920647713,0.9605505400525252,1.8373237452287554,3.549033700212509,6.472705658111245,97.08,0.000263135930225468,3.2576945600912704e-05,0.0008450569661194168,89.64
SSP2-4.5,2050,Brahmaputra_Floodplain,1.9440007771554209,0.5831114287363118,1.3344237256807967,2.791923905673845,5.8352319039688165,87.46000000000001,0.00025185698902332196,2.160805841756651e-05,0.0008680482298431591,87.0
SSP2-4.5,2050,Eastern_Hills,1.81928902107939,0.5195901568601219,1.2376382790462688,2.641979451693822,5.476337973459464,84.86,0.00023652521054147528,6.3944112281547205e-06,0.0008835168269952219,83.7
SSP2-4.5,2050,GBM_Delta,2.5925868812267208,0.9934355300281108,1.883555973129386,3.612409445394427,6.622485102806244,97.44,0.0003752241560124606,0.00012145997274678886,0.001043703585253854,98.44000000000001
SSP2-4.5,2050,Ganges_Floodplain,3.2824976921092777,1.3377795354850572,2.3896172816668697,4.433159849073651,8.079443179817932,99.3,0.0004069598580047915,0.00013559454105225102,0.001116105010427047,98.86
SSP2-4.5,2050,Meghna_Floodplain,2.4702046250143157,0.889480139092511,1.7909670947018002,3.448188025751915,6.483651001449803,96.1,0.0003373687459024244,9.07849753348411e-05,0.0010072892853705809,96.84
SSP2-4.5,2050,Northern_Terrace,2.269026030006411,0.7734517645361987,1.5975574643311008,3.2019638636782783,6.383240839564156,93.67999999999999,0.00027462201474534457,3.986574005051983e-05,0.0009367511574284555,90.52
SSP2-4.5,2060,Barind_Tract,2.8990079464391463,1.0409554297519126,2.033129549042725,4.081758097509049,7.741467625433481,97.98,0.0003283395083832312,3.769940252615388e-05,0.001072733410013391,92.25999999999999
SSP2-4.5,2060,Brahmaputra_Floodplain,2.190041724284547,0.632385419520112,1.4659288829162662,3.2290333905532194,6.814322508334742,90.02,0.00030855334778430357,2.7241954652848403e-05,0.0010900451003582371,89.74
SSP2-4.5,2060,Eastern_Hills,2.076345637623789,0.5406640708346631,1.3573141605505,3.1619991894432538,6.51987058981909,87.32,0.00029048353940521734,2.991941410145196e-06,0.0011046221971475496,87.76
SSP2-4.5,2060,GBM_Delta,2.882056922939525,1.042145801914875,2.0307266988872437,4.066630059163498,7.856023440918128,97.78,0.0004369897073985424,0.0001308154726489501,0.0012989566683804163,98.8
SSP2-4.5,2060,Ganges_Floodplain,3.5223190876095924,1.3741294899912813,2.57023223217343,4.909948013441746,9.134635316720265,99.38,0.0004619127086531636,0.00014215265149609808,0.001328386398662894,98.86
SSP2-4.5,2060,Meghna_Floodplain,2.7860969125891355,0.8888615781586304,1.9676346200213937,3.941904277832793,7.646242435945201,96.5,0.00039783387293465934,8.771018856054946e-05,0.0012111643748863212,96.86
SSP2-4.5,2060,Northern_Terrace,2.591330145514844,0.8023714752281753,1.790364991301116,3.6942896952064475,7.387352836642875,94.76,0.00033547496327247187,4.171085120502542e-05,0.0011367145135194334,92.7
SSP5-8.5,2030,Barind_Tract,2.092375092391539,0.8800431294613416,1.549800256360684,2.8141623106250604,4.9263115663204,95.0,0.00017258923083936155,3.4284670369764087e-05,0.0005076000423595388,79.86
SSP5-8.5,2030,Brahmaputra_Floodplain,1.4772419320348016,0.5464916555460035,1.0659177185413635,2.0276971011339624,3.7405780714041583,79.62,0.00016121741366487114,1.2971194364779839e-05,0.0004720582283900257,76.0
SSP5-8.5,2030,Eastern_Hills,1.3731242866322757,0.5014238869886974,0.9737463901562781,1.8925179270885142,3.3463490691840336,73.61999999999999,0.00014544226843271583,6.775960238349149e-06,0.00044119530924131834,70.98
SSP5-8.5,2030,GBM_Delta,2.1251307952015495,0.868004493025655,1.5647560107046687,2.8396232402481187,4.893041512321963,95.38,0.0002834548360111694,0.00010779906317709798,0.0006611994130087213,98.0
SSP5-8.5,2030,Ganges_Floodplain,2.783502995071591,1.150548565193574,2.0641904044423227,3.6523012813655535,5.979809186372256,98.88,0.0003113903097292836,0.00012047578516813997,0.0007234014450079334,98.86
SSP5-8.5,2030,Meghna_Floodplain,1.9546004416108818,0.8045248619747158,1.4658547008101088,2.6381484016730514,4.570357989288198,93.76,0.00024269993045937754,7.824424374676784e-05,0.0006102037220289655,94.76
SSP5-8.5,2030,Northern_Terrace,1.829613679499417,0.7153780656661106,1.3541695824575235,2.467215088606438,4.231179325697161,90.46,0.00018469551920590052,3.755638325310252e-05,0.0005211686602238511,84.2
SSP5-8.5,2040,Barind_Tract,2.576501339688044,0.9996210980800734,1.8801604847521547,3.561107892588139,6.498556357087972,97.48,0.00027699831511590373,3.139149330635042e-05,0.0007909120537873309,90.53999999999999
SSP5-8.5,2040,Brahmaputra_Floodplain,1.9877320944985062,0.5833818816507761,1.3680367939612097,2.810365806439496,5.260297446794142,88.26,0.0002587033046650809,1.9162247278969593e-05,0.0007716628700257499,88.94
SSP5-8.5,2040,Eastern_Hills,1.9086748723816869,0.5461606131343363,1.2757611766425425,2.7360163419891,5.267100630513385,85.74000000000001,0.0002505765564869612,1.1559357772584552e-05,0.0007596457721899309,85.8
SSP5-8.5,2040,GBM_Delta,2.641295798959937,0.955778923433241,1.9006695434739318,3.641768128153327,6.349482100731113,97.06,0.0003908718374378415,0.00012021549416346347,0.000979229793792476,98.44000000000001
SSP5-8.5,2040,Ganges_Floodplain,3.3463490765609265,1.3255138501668182,2.4496525787835797,4.513655034569918,7.864712007586183,99.44,0.00042034311464577844,0.0001415765875890727,0.001048936871741301,99.11999999999999
SSP5-8.5,2040,Meghna_Floodplain,2.5300436147422145,0.8969852925981114,1.790578367294606,3.4818144655765746,6.333015288621001,96.06,0.000351168760677872,9.243255892852025e-05,0.0009500400679326564,97.0
SSP5-8.5,2040,Northern_Terrace,2.3496176220277656,0.8306264875368002,1.6877997563652893,3.2311875584122367,5.988731071333952,94.89999999999999,0.00028909466088642105,4.6364261654993616e-05,0.0008457862894802918,92.25999999999999
SSP5-8.5,2050,Barind_Tract,3.23436676828616,1.0617272108165123,2.2629519999561105,4.492545221720329,8.330277750446049,97.94,0.00039762875602290424,3.380037967151434e-05,0.0011789984664432984,94.12
SSP5-8.5,2050,Brahmaputra_Floodplain,2.6029577755251925,0.6545488560002095,1.72628509242483,3.7895746051694483,7.56499781789704,93.26,0.0003963454320876016,3.7837829447495886e-05,0.0011922639620113118,93.58
SSP5-8.5,2050,Eastern_Hills,2.5093642928055413,0.5677797798065902,1.6344656126053267,3.6373774594610873,7.037340019392991,90.68,0.0003737788911577853,2.7702799469029645e-06,0.0011543222992225057,91.96
SSP5-8.5,2050,GBM_Delta,3.2701669897151566,1.0677612613385703,2.303464362414025,4.5227245419916144,8.481238659969348,98.0,0.0005294305807225834,0.00014577100020204077,0.0013830430321487672,98.74000000000001
SSP5-8.5,2050,Ganges_Floodplain,4.001815868326412,1.5335052125510684,2.8662446661315957,5.533402248488281,10.005062952518703,99.58,0.0005490309093958071,0.0001648643880573716,0.0014394226755857198,99.18
SSP5-8.5,2050,Meghna_Floodplain,3.1365159534937224,0.9673296824691335,2.200168991329206,4.404472938414653,8.364033822713072,97.24000000000001,0.00047703422279303363,9.941526390424672e-05,0.0013048372788722663,97.39999999999999
SSP5-8.5,2050,Northern_Terrace,2.946509997538852,0.927348176935199,2.03268417897683,4.179807323031468,8.07761626060266,96.67999999999999,0.0004116779015768007,4.9107465313736275e-05,0.0012178070490819121,94.58
SSP5-8.5,2060,Barind_Tract,3.9369183676370096,1.2019433720059027,2.7293319408627355,5.673929589436303,10.781667921304024,98.6,0.0005408411503784338,5.427459442569333e-05,0.001576603587034284,95.89999999999999
SSP5-8.5,2060,Brahmaputra_Floodplain,3.2886593251845375,0.7093732550839558,2.1059882360305506,4.931278836637707,9.74617507144112,94.76,0.0005362677695885762,4.4499818691478626e-05,0.0015909308719006254,95.5
SSP5-8.5,2060,Eastern_Hills,3.120911833114139,0.592063841652328,2.0089087338298777,4.7241630630633695,9.384109400427784,93.26,0.0005123725955247315,7.474561605381518e-06,0.0015858357059985212,93.74
SSP5-8.5,2060,GBM_Delta,4.118753935880589,1.1167790975014318,2.77920575751982,5.806632953797415,10.670108060535986,98.16,0.000683409070277015,0.00014421124633634584,0.0018062315360161789,98.28
SSP5-8.5,2060,Ganges_Floodplain,4.8005449957087185,1.6219568007153948,3.3681538536011204,6.668450567895993,12.205648045910182,99.48,0.0007063689236401105,0.00016491905554535965,0.0019078563216322088,99.02
SSP5-8.5,2060,Meghna_Floodplain,3.9144086523774266,1.0270813342331222,2.6617240022533335,5.521779804116862,10.68352993377469,97.68,0.0006372302420373149,0.00012080815909683992,0.0017681925627842932,97.94
SSP5-8.5,2060,Northern_Terrace,3.7284367296905647,0.9196275402362792,2.471966279310031,5.368910182481526,10.39393338046276,96.86,0.0005568931698310094,4.792247375503544e-05,0.0016785664383567017,95.76
