scenario,description,HI_median,HI_exceed_pct,CR_median,CR_exceed_pct,DALYs,DALYs_averted,pct_reduction,total_cost_usd,cost_per_daly_averted,very_cost_effective
S0_baseline,No intervention (current state),3.0269074999999996,83.5026897788404,0.00018209874999999996,65.51105797967722,68128116.16275087,0.0,0.0,0,inf,False
S1_deepen_wells,Deepen all shallow/intermediate wells to >150m,1.6415986111111114,90.7949790794979,0.00014880275,83.68200836820083,33615063.25625731,34513052.90649356,50.6590448267284,2525000000,73.16072579383224,True
S2_po4_removal,PO4-removal sorbent at wellhead,2.2481543055555555,75.61267184698147,8.706670000000002e-05,46.74237895995218,38946242.51692839,29181873.64582248,42.83381853111873,151500000,5.1915789177467,True
S3_multi_treatment,Community-scale multi-contaminant treatment (Fe oxidation + As/Mn removal),0.9053961388888888,45.00896592946802,4.4883125000000006e-05,29.288702928870293,15521836.791662956,52606279.371087916,77.21669456618626,808000000,15.359383131818134,True
S4_seasonal_switch,Switch to deep wells during monsoon (wet season only),1.6444773444444443,66.10878661087865,7.303119999999997e-05,44.530783024506874,42116510.358157046,26011605.804593824,38.18042721518212,101000000,3.882882154940343,True
S5_fertilizer_policy,Reduce PO4 fertilizer 30% in high-As zones (indirect As reduction),2.832839833333334,81.94859533771668,0.0001524936,61.08786610878661,58905906.1216739,9222210.041076973,13.536569863529014,50000000,5.421693908216493,True
