phys_zone,depth_zone,contaminant,baseline_median,projected_median_ssp245,projected_median_ssp585
Barind_Tract,Intermediate,Cr3+,0.0103,0.0069816999999999995,0.0053689
Barind_Tract,Intermediate,NO3-,1.0,1.105,1.165
Northern_Terrace,Intermediate,As,1.8745,3.222501,3.924619
Northern_Terrace,Intermediate,Mn2+,0.2884,0.2348536,0.21154119999999998
Northern_Terrace,Intermediate,Fe2+,7.90227,7.065739059999999,6.71859402
Northern_Terrace,Intermediate,Cr3+,0.0032,0.0028548000000000002,0.0026966
Northern_Terrace,Intermediate,NO3-,1.6,1.564,1.5580000000000003
Brahmaputra_Floodplain,Intermediate,As,1.0627499999999999,3.0892875,4.1184975
Brahmaputra_Floodplain,Intermediate,Mn2+,0.328785,0.25994464,0.22946988
Brahmaputra_Floodplain,Intermediate,Fe2+,3.790615,4.22368497,4.47433549
Brahmaputra_Floodplain,Intermediate,Cr3+,0.00515,0.00369085,0.00298445
Brahmaputra_Floodplain,Intermediate,NO3-,2.1,2.0765,2.0805000000000002
Ganges_Floodplain,Intermediate,As,4.4356,8.928728,11.241826
Ganges_Floodplain,Intermediate,Mn2+,0.78158,0.7711123200000001,0.7752574400000001
Ganges_Floodplain,Intermediate,Fe2+,3.90689,3.66463542,3.5786701400000003
Ganges_Floodplain,Intermediate,Cr3+,0.0086,0.005895399999999999,0.0045818000000000005
Ganges_Floodplain,Intermediate,NO3-,1.1,1.2715,1.3655
GBM_Delta,Intermediate,As,12.187750000000001,14.2022975,15.3923875
GBM_Delta,Intermediate,Mn2+,0.289755,0.23730752,0.21456083999999997
GBM_Delta,Intermediate,Fe2+,4.28583,4.769656739999999,5.05014258
GBM_Delta,Intermediate,Cr3+,0.01125,0.01086875,0.010728749999999999
GBM_Delta,Intermediate,NO3-,2.8,2.9019999999999997,2.974
Meghna_Floodplain,Intermediate,As,7.7431,21.433563,28.394941
Meghna_Floodplain,Intermediate,Mn2+,0.26086,0.47018544,0.5779784800000001
Meghna_Floodplain,Intermediate,Fe2+,2.02999,2.3230092200000003,2.48778874
Meghna_Floodplain,Intermediate,Cr3+,0.0193,0.012732700000000001,0.009535900000000002
Meghna_Floodplain,Intermediate,NO3-,1.6,1.8840000000000001,2.038
Eastern_Hills,Intermediate,As,0.35475,0.38924949999999997,0.4118205
Eastern_Hills,Intermediate,Mn2+,0.25305,0.2096472,0.1909824
Eastern_Hills,Intermediate,Fe2+,3.8976300000000004,3.4201751400000004,3.2165263800000004
Eastern_Hills,Intermediate,Cr3+,0.0049499999999999995,0.00356305,0.0028918499999999996
Eastern_Hills,Intermediate,NO3-,1.4,1.571,1.667
Northern_Terrace,Medium_Deep,As,4.0949,6.586905,7.894331
Northern_Terrace,Medium_Deep,Mn2+,0.36571,0.28349984,0.24678328
Northern_Terrace,Medium_Deep,Fe2+,4.83835,5.1844013,5.4009721
Northern_Terrace,Medium_Deep,Cr3+,0.0041,0.0030199000000000003,0.0024983
Northern_Terrace,Medium_Deep,NO3-,1.3,1.4645000000000001,1.5565
Brahmaputra_Floodplain,Medium_Deep,As,0.4419,1.4403290000000002,1.9461720000000002
Brahmaputra_Floodplain,Medium_Deep,Mn2+,0.24042999999999998,0.19380272,0.17337423999999999
Brahmaputra_Floodplain,Medium_Deep,Fe2+,3.21312,3.47249536,3.63110112
Brahmaputra_Floodplain,Medium_Deep,Cr3+,0.0025,0.0019975,0.0017575
Brahmaputra_Floodplain,Medium_Deep,NO3-,2.4,2.2760000000000002,2.232
Ganges_Floodplain,Medium_Deep,As,2.9532,5.859964,7.3576440000000005
Ganges_Floodplain,Medium_Deep,Mn2+,0.62914,0.66079456,0.68417152
Ganges_Floodplain,Medium_Deep,Fe2+,2.81262,2.74612036,2.73818412
Ganges_Floodplain,Medium_Deep,Cr3+,0.007,0.004873,0.003841
Ganges_Floodplain,Medium_Deep,NO3-,1.1,1.2115,1.2754999999999999
GBM_Delta,Medium_Deep,As,3.42075,5.824225500000001,7.0772745
GBM_Delta,Medium_Deep,Mn2+,0.25886,0.21707743999999998,0.19929248
GBM_Delta,Medium_Deep,Fe2+,2.659815,3.29742457,3.64016769
GBM_Delta,Medium_Deep,Cr3+,0.0135,0.0128265,0.0125505
GBM_Delta,Medium_Deep,NO3-,2.1500000000000004,2.14975,2.16575
Meghna_Floodplain,Medium_Deep,As,2.7743,5.206381,6.464036
Meghna_Floodplain,Medium_Deep,Mn2+,0.29354,0.43053216000000005,0.50255072
Meghna_Floodplain,Medium_Deep,Fe2+,3.8668250000000004,4.01237335,4.1199489499999995
Meghna_Floodplain,Medium_Deep,Cr3+,0.024,0.016456000000000002,0.012792000000000001
Meghna_Floodplain,Medium_Deep,NO3-,1.7,1.7505,1.7885000000000002
Eastern_Hills,Medium_Deep,As,0.09455,0.9886055000000001,1.4370515000000001
Eastern_Hills,Medium_Deep,Mn2+,0.1451,0.1372904,0.1351268
Eastern_Hills,Medium_Deep,Fe2+,3.567005,3.2703073899999997,3.15406163
Eastern_Hills,Medium_Deep,Cr3+,0.0068000000000000005,0.0058292000000000005,0.0053744
Eastern_Hills,Medium_Deep,NO3-,1.2,1.3780000000000001,1.476
Northern_Terrace,Deep,As,1.7324,2.804528,3.3665779999999996
Northern_Terrace,Deep,Mn2+,0.23079,0.18975615999999998,0.17200871999999995
Northern_Terrace,Deep,Fe2+,2.81453,3.05380334,3.19877078
Northern_Terrace,Deep,Cr3+,0.0041,0.0030199000000000003,0.0024983
Northern_Terrace,Deep,NO3-,1.2,1.238,1.266
Brahmaputra_Floodplain,Deep,As,0.2965,1.405789,1.9648809999999999
Brahmaputra_Floodplain,Deep,Mn2+,0.22946,0.19849983999999998,0.18577327999999999
Brahmaputra_Floodplain,Deep,Fe2+,1.32796,1.53866888,1.65597496
Brahmaputra_Floodplain,Deep,Cr3+,0.0032,0.0024448,0.0020816000000000003
Brahmaputra_Floodplain,Deep,NO3-,1.8,1.717,1.689
Ganges_Floodplain,Deep,As,10.1645,11.809345,12.784234999999999
Ganges_Floodplain,Deep,Mn2+,0.2566,0.3012064,0.3265888
Ganges_Floodplain,Deep,Fe2+,2.67919,3.1386448200000006,3.39248494
Ganges_Floodplain,Deep,Cr3+,0.00615,0.00432985,0.00344745
Ganges_Floodplain,Deep,NO3-,1.3,1.5045000000000002,1.6165
GBM_Delta,Deep,As,3.48725,4.5141345,5.0798855000000005
GBM_Delta,Deep,Mn2+,0.213225,0.17103040000000003,0.1524918
GBM_Delta,Deep,Fe2+,1.54091,2.06560898,2.34182666
GBM_Delta,Deep,Cr3+,0.00865,0.00866135,0.00870595
GBM_Delta,Deep,NO3-,2.2,2.141,2.128
Meghna_Floodplain,Deep,As,2.3027,4.453450999999999,5.5633669999999995
Meghna_Floodplain,Deep,Mn2+,0.27829,0.23287615999999997,0.21350871999999999
Meghna_Floodplain,Deep,Fe2+,3.66245,3.7776331,3.8681867000000003
Meghna_Floodplain,Deep,Cr3+,0.0062,0.0057538,0.0055585999999999995
Meghna_Floodplain,Deep,NO3-,1.2,1.478,1.626
Eastern_Hills,Deep,As,0.10005,1.0702905,1.5569115000000002
Eastern_Hills,Deep,Mn2+,0.26636000000000004,0.21509744,0.19266248000000002
Eastern_Hills,Deep,Fe2+,5.62028,4.356799840000001,3.7756422800000005
Eastern_Hills,Deep,Cr3+,0.0068000000000000005,0.0050092,0.0041444
Eastern_Hills,Deep,NO3-,1.6,1.6840000000000002,1.738
