phys_zone,depth_zone,contaminant,baseline_median,projected_median_ssp245,projected_median_ssp585
Barind_Tract,Shallow,As,0.7997,1.204025,1.4181829999999997
Barind_Tract,Shallow,Mn2+,0.73547,0.76551088,0.78935696
Barind_Tract,Shallow,Fe2+,0.85185,1.0761022999999998,1.1958951
Barind_Tract,Shallow,Cr3+,0.0106,0.0129054,0.0141058
Barind_Tract,Shallow,NO3-,1.1,1.2515,1.3355
Northern_Terrace,Shallow,As,1.14405,2.1179365,2.6220404999999998
Northern_Terrace,Shallow,Mn2+,0.55535,0.4152064,0.35179879999999997
Northern_Terrace,Shallow,Fe2+,4.36683,4.8487107400000005,5.12895258
Northern_Terrace,Shallow,Cr3+,0.0030499999999999998,0.0028609499999999997,0.00278015
Northern_Terrace,Shallow,NO3-,2.05,1.96325,1.93525
Brahmaputra_Floodplain,Shallow,As,0.7136,3.08,4.273904
Brahmaputra_Floodplain,Shallow,Mn2+,0.36365,0.2802496,0.2429132
Brahmaputra_Floodplain,Shallow,Fe2+,2.66452,3.08656856,3.3215735200000003
Brahmaputra_Floodplain,Shallow,Cr3+,0.0041,0.004575900000000001,0.0048323
Brahmaputra_Floodplain,Shallow,NO3-,1.8,2.0370000000000004,2.169
Ganges_Floodplain,Shallow,As,5.5763,9.650338999999999,11.771003
Ganges_Floodplain,Shallow,Mn2+,0.48376,0.56294704,0.6083456799999999
Ganges_Floodplain,Shallow,Fe2+,2.83742,3.0479287599999996,3.17871992
Ganges_Floodplain,Shallow,Cr3+,0.0053,0.0037866999999999996,0.0030538999999999996
Ganges_Floodplain,Shallow,NO3-,1.0,1.205,1.315
GBM_Delta,Shallow,As,12.426,18.89282,22.312620000000003
GBM_Delta,Shallow,Mn2+,0.21023,0.18376192,0.17305064
GBM_Delta,Shallow,Fe2+,2.97427,3.8565550600000003,4.32446602
GBM_Delta,Shallow,Cr3+,0.007,0.008909,0.009895000000000001
GBM_Delta,Shallow,NO3-,1.7,1.9705000000000001,2.1185
Meghna_Floodplain,Shallow,As,22.421,22.418529999999997,22.753610000000002
Meghna_Floodplain,Shallow,Mn2+,0.56043,0.64226272,0.68990424
Meghna_Floodplain,Shallow,Fe2+,5.14651,5.1458097799999996,5.19177826
Meghna_Floodplain,Shallow,Cr3+,0.0097,0.0080303,0.0072391
Meghna_Floodplain,Shallow,NO3-,2.0,2.25,2.3899999999999997
Barind_Tract,Intermediate,As,0.9025,2.258049,2.949361
Barind_Tract,Intermediate,Mn2+,0.61833,0.47410432,0.40941143999999996
Barind_Tract,Intermediate,Fe2+,2.69995,2.8833821,2.9993977
