depth_zone,phys_zone,contaminant,n_pairs,dry_median,wet_median,paired_delta_median,sensitivity_per_pct,sensitivity_CI_lo,sensitivity_CI_hi,wilcoxon_p,significant
Medium_Deep,GBM_Delta,As,100,3.1667,9.989685,2.551755,0.0850585,0.010104929166666669,0.14480333333333337,0.052475138087962746,False
Medium_Deep,GBM_Delta,Mn2+,100,0.25817999999999997,0.0871,-0.08246999999999999,-0.0027489999999999997,-0.0038499999999999997,-0.0007979999999999997,0.4787621325036495,False
Medium_Deep,GBM_Delta,Fe2+,100,2.7692449999999997,3.91046,0.2387999999999998,0.007959999999999993,0.0003569999999999999,0.021914904166666617,0.38248077552601834,False
Medium_Deep,GBM_Delta,Cr3+,100,0.01325,0.010665000000000001,-0.0046,-0.00015333333333333334,-0.0002721666666666667,-7.999999999999999e-05,0.0002159076122813839,True
Medium_Deep,GBM_Delta,NO3-,100,2.1500000000000004,1.9,-0.19999999999999984,-0.006666666666666662,-0.014999999999999998,0.005000000000000008,0.49623303528417195,False
Medium_Deep,Ganges_Floodplain,As,31,2.9532,9.26032,2.54369,0.08478966666666667,0.027674666666666663,0.18454399999999999,0.26389263197779655,False
Medium_Deep,Ganges_Floodplain,Mn2+,31,0.62914,0.5447,-0.06220999999999999,-0.0020736666666666664,-0.009153333333333335,0.009101666666666668,0.7206862810999155,False
Medium_Deep,Ganges_Floodplain,Fe2+,31,2.81262,2.09791,-0.10072999999999999,-0.0033576666666666664,-0.02272133333333334,0.023969999999999995,0.8695757398381829,False
Medium_Deep,Ganges_Floodplain,Cr3+,31,0.007,0.001,-0.0058,-0.0001933333333333333,-0.0002666666666666667,-8.333333333333333e-05,0.0002830789435165414,True
Medium_Deep,Ganges_Floodplain,NO3-,31,1.1,1.2,0.19999999999999996,0.006666666666666665,-0.006666666666666669,0.01333333333333333,0.42983292685252106,False
Medium_Deep,Meghna_Floodplain,As,42,2.9352,8.958145,6.315,0.21050000000000002,0.0894605,0.2833575,0.0004998449321647058,True
Medium_Deep,Meghna_Floodplain,Mn2+,42,0.26492000000000004,0.5597,0.17930999999999997,0.005976999999999999,-0.002139020833333333,0.012021500000000001,0.014183732939272886,True
Medium_Deep,Meghna_Floodplain,Fe2+,42,3.921055,3.4766649999999997,-0.29275500000000004,-0.009758500000000002,-0.04672799999999999,0.021037000000000004,0.11881826305125287,False
Medium_Deep,Meghna_Floodplain,Cr3+,42,0.0231,0.004314999999999999,-0.006,-0.0002,-0.0007181666666666668,-1.864166666667042e-05,0.0018101991130713927,True
Medium_Deep,Meghna_Floodplain,NO3-,42,2.05,1.75,-0.24999999999999994,-0.008333333333333331,-0.02666666666666667,0.010000000000000002,0.3214711094428888,False
Medium_Deep,Northern_Terrace,As,9,4.0949,8.99407,2.6432200000000003,0.08810733333333334,-0.24469366666666664,0.40152666666666664,0.359375,False
Medium_Deep,Northern_Terrace,Mn2+,9,0.36571,0.0651,-0.14651999999999998,-0.0048839999999999995,-0.009055666666666665,0.014423,0.5703125,False
Medium_Deep,Northern_Terrace,Fe2+,9,4.83835,4.76,0.4532400000000001,0.015108000000000003,-0.11708666666666663,0.018430666666666668,0.734375,False
Medium_Deep,Northern_Terrace,Cr3+,9,0.0041,0.001,-0.002,-6.666666666666667e-05,-0.000183,0.00042000000000000007,0.8203125,False
Medium_Deep,Northern_Terrace,NO3-,9,1.3,1.5,-0.30000000000000004,-0.010000000000000002,-0.04,0.023333333333333334,0.42578125,False
Shallow,Barind_Tract,As,52,0.8106,1.9615049999999998,-0.0091,-0.00030333333333333335,-0.0056683333333333325,0.006512666666666667,0.7020946320108743,False
Shallow,Barind_Tract,Mn2+,52,0.68141,0.6193500000000001,-0.06653499999999998,-0.002217833333333333,-0.006977833333333335,0.0005370000000000005,0.3970267515787559,False
Shallow,Barind_Tract,Fe2+,52,1.0460500000000001,1.24637,0.07963,0.0026543333333333336,-0.010898666666666668,0.008256000000000001,0.8697905791376359,False
Shallow,Barind_Tract,Cr3+,52,0.01055,0.014624999999999999,0.001235,4.116666666666667e-05,-0.00012833333333333333,0.00026050000000000004,0.47749134567387597,False
Shallow,Barind_Tract,NO3-,52,1.1,1.3,-0.04999999999999999,-0.0016666666666666663,-0.011666666666666664,0.011666666666666667,0.6799875551618101,False
Shallow,Brahmaputra_Floodplain,As,22,0.5,4.586919999999999,1.56954,0.052317999999999996,0.0123015,0.14283566666666664,0.027535438537597656,True
Shallow,Brahmaputra_Floodplain,Mn2+,22,0.37068999999999996,0.06895,-0.175885,-0.005862833333333334,-0.010808333333333333,0.00048666666666666487,0.07942724227905273,False
Shallow,Brahmaputra_Floodplain,Fe2+,22,2.6371,3.14793,-0.018945000000000004,-0.0006315000000000001,-0.09472410833333332,0.089114,0.42448854446411133,False
Shallow,Brahmaputra_Floodplain,Cr3+,22,0.004,0.0057350000000000005,0.0008550000000000001,2.85e-05,-9.333333333333334e-05,0.00016766666666666666,0.5445904731750488,False
Shallow,Brahmaputra_Floodplain,NO3-,22,1.8,1.9500000000000002,0.10000000000000003,0.0033333333333333344,-0.02333333333333333,0.033333333333333326,0.5662467358801049,False
Shallow,GBM_Delta,As,22,15.335,25.82625,3.8285100000000027,0.1276170000000001,-0.044869999999999875,0.3110233333333334,0.3369474411010742,False
Shallow,GBM_Delta,Mn2+,22,0.203395,0.08635,-0.0774,-0.00258,-0.005600999999999998,0.020318,0.774528980255127,False
Shallow,GBM_Delta,Fe2+,22,3.528815,4.636215,0.173385,0.005779500000000001,-0.050442333333333346,0.105857,0.5028400421142578,False
Shallow,GBM_Delta,Cr3+,22,0.00645,0.01079,0.004515,0.0001505,-0.00016333333333333334,0.000301,0.4825911521911621,False
Shallow,GBM_Delta,NO3-,22,2.2,2.2,0.04999999999999971,0.001666666666666657,-0.020000000000000004,0.05833333333333333,0.47493061687037275,False
Shallow,Ganges_Floodplain,As,29,5.5763,12.1676,0.9993100000000004,0.033310333333333345,-0.14064333333333331,0.1432163333333333,1.0,False
Shallow,Ganges_Floodplain,Mn2+,29,0.48376,0.5373,-0.12759999999999994,-0.004253333333333331,-0.012212,-0.00038966666666666593,0.09195835143327713,False
Shallow,Ganges_Floodplain,Fe2+,29,2.83742,2.96764,-1.16277,-0.038759,-0.062239666666666665,0.004024333333333334,0.04312055930495262,True
Shallow,Ganges_Floodplain,Cr3+,29,0.0052,0.001,-0.0025,-8.333333333333333e-05,-0.00022099999999999998,-2e-05,0.2217899729802546,False
Shallow,Ganges_Floodplain,NO3-,29,1.0,1.3,0.30000000000000004,0.010000000000000002,-0.0033333333333333327,0.029999999999999995,0.19814876085834154,False
Shallow,Meghna_Floodplain,As,19,22.421,7.7198,-2.4495200000000006,-0.08165066666666669,-1.5201313333333333,0.25732333333333335,0.21011734008789062,False
Shallow,Meghna_Floodplain,Mn2+,19,0.56043,0.6193,-0.05159999999999999,-0.0017199999999999997,-0.008008666666666664,0.01979233333333334,0.9217147827148438,False
Shallow,Meghna_Floodplain,Fe2+,19,5.14651,4.14119,0.0391900000000005,0.00130633333333335,-0.07058,0.041632333333333334,0.5948867797851562,False
Shallow,Meghna_Floodplain,Cr3+,19,0.0097,0.00458,-0.0015999999999999999,-5.3333333333333326e-05,-0.00036399999999999996,0.00024133333333333336,0.37359619140625,False
Shallow,Meghna_Floodplain,NO3-,19,2.0,2.3,0.4,0.013333333333333334,-0.010000000000000002,0.03333333333333333,0.6434512436957017,False
Shallow,Northern_Terrace,As,22,1.03485,2.677805,1.642955,0.05476516666666666,-0.004623333333333333,0.18416495416666614,0.011472702026367188,True
Shallow,Northern_Terrace,Mn2+,22,0.28801,0.05455,-0.10938,-0.0036460000000000004,-0.005791333333333333,-0.0026063333333333338,0.2221074104309082,False
Shallow,Northern_Terrace,Fe2+,22,4.8810649999999995,4.46,-0.708645,-0.0236215,-0.21082683333333332,0.004796333333333329,0.022916316986083984,True
Shallow,Northern_Terrace,Cr3+,22,0.0033499999999999997,0.0023699999999999997,-0.00025,-8.333333333333334e-06,-7.566666666666666e-05,0.00011183333333333333,0.6147180560272906,False
Shallow,Northern_Terrace,NO3-,22,1.95,1.6,-0.49999999999999983,-0.01666666666666666,-0.03333333333333333,0.020041666666666434,0.3220114700912129,False
