depth_zone,phys_zone,contaminant,n_pairs,dry_median,wet_median,paired_delta_median,sensitivity_per_pct,sensitivity_CI_lo,sensitivity_CI_hi,wilcoxon_p,significant
Deep,Brahmaputra_Floodplain,As,26,0.47725,3.312635,2.38205,0.07940166666666666,0.049953333333333336,0.15140499999999998,4.410743713378906e-05,True
Deep,Brahmaputra_Floodplain,Mn2+,26,0.22784,0.0939,-0.11967,-0.003989,-0.006157000000000001,0.005373999999999998,1.0,False
Deep,Brahmaputra_Floodplain,Fe2+,26,1.3447149999999999,1.597905,0.02441000000000007,0.000813666666666669,-0.01581433333333333,0.005937999999999999,0.8809217512607574,False
Deep,Brahmaputra_Floodplain,Cr3+,26,0.0034000000000000002,0.001,-0.0024000000000000002,-8e-05,-0.00013744166666666664,-3.666666666666666e-05,0.000125885009765625,True
Deep,Brahmaputra_Floodplain,NO3-,26,1.75,1.4,-0.5,-0.016666666666666666,-0.03333333333333333,-0.006666666666666665,0.01417162605513685,True
Deep,Eastern_Hills,As,18,0.10005,2.13937,1.8863699999999999,0.06287899999999999,0.0034436666666666665,0.15326466666666666,0.0055999755859375,True
Deep,Eastern_Hills,Mn2+,18,0.226445,0.06895,-0.08718999999999999,-0.002906333333333333,-0.008587333333333334,-0.00043766666666666677,0.2121429443359375,False
Deep,Eastern_Hills,Fe2+,18,5.62028,2.07693,-3.710305,-0.12367683333333333,-0.2348565,0.014464666666666662,0.0182342529296875,True
Deep,Eastern_Hills,Cr3+,18,0.0066,0.001715,-0.0017499999999999998,-5.8333333333333326e-05,-0.00016433333333333333,3.7833333333333336e-05,0.34654998779296875,False
Deep,Eastern_Hills,NO3-,18,1.6,1.5,0.0,0.0,-0.02333333333333333,0.030000000000000002,0.930566826299238,False
Deep,GBM_Delta,As,62,3.5416,4.921105,2.168845,0.07229483333333334,-0.0017963333333333332,0.12174883333333335,0.5868832240177642,False
Deep,GBM_Delta,Mn2+,62,0.22139999999999999,0.0523,-0.09284,-0.003094666666666667,-0.004320333333333333,-0.0019431666666666666,0.15163949371302582,False
Deep,GBM_Delta,Fe2+,62,1.6623450000000002,2.4926000000000004,0.049150000000000006,0.0016383333333333334,-0.01729066666666667,0.014813333333333335,0.8306736016164986,False
Deep,GBM_Delta,Cr3+,62,0.009049999999999999,0.00836,-0.0024000000000000002,-8e-05,-0.0002026666666666665,3.2333333333333345e-05,0.14572404657029583,False
Deep,GBM_Delta,NO3-,62,2.2,1.7,-0.19999999999999984,-0.006666666666666662,-0.020000000000000004,0.006666666666666672,0.29258703769111216,False
Deep,Ganges_Floodplain,As,14,10.1645,10.97315,1.283865,0.0427955,-0.19975266666666672,0.2363323333333333,0.5830078125,False
Deep,Ganges_Floodplain,Mn2+,14,0.2566,0.3014,0.08939500000000003,0.0029798333333333343,-0.00672,0.04336666666666667,0.1937255859375,False
Deep,Ganges_Floodplain,Fe2+,14,2.67919,3.3053850000000002,-0.22033999999999976,-0.007344666666666658,-0.025451666666666664,0.04439933333333333,0.9515380859375,False
Deep,Ganges_Floodplain,Cr3+,14,0.00615,0.001,-0.0041849999999999995,-0.00013949999999999998,-0.0001933333333333333,8.566666666666664e-05,0.2957763671875,False
Deep,Ganges_Floodplain,NO3-,14,1.3,1.6,0.3999999999999999,0.01333333333333333,0.0,0.016666666666666663,0.30763534293707717,False
Deep,Meghna_Floodplain,As,32,2.1632,7.55847,4.340225,0.1446741666666667,0.08316250000000001,0.20153,9.054644033312798e-05,True
Deep,Meghna_Floodplain,Mn2+,32,0.27423,0.09315,-0.184185,-0.0061395,-0.007216333333333334,0.0029223333333333336,0.691578262951225,False
Deep,Meghna_Floodplain,Fe2+,32,3.8022650000000002,3.06708,-0.14575500000000002,-0.004858500000000001,-0.03841866666666667,0.02418733333333334,0.573302308563143,False
Deep,Meghna_Floodplain,Cr3+,32,0.0062,0.006229999999999999,0.0003600000000000001,1.2000000000000002e-05,-8.666666666666667e-05,0.0003375208333333332,0.9779350669123232,False
Deep,Meghna_Floodplain,NO3-,32,1.25,1.5,0.2,0.006666666666666667,-0.006666666666666665,0.020000000000000004,0.18725724209741057,False
Deep,Northern_Terrace,As,9,1.7324,3.84969,2.1906499999999998,0.07302166666666667,-0.06284566666666666,0.12994966666666666,0.09765625,False
Deep,Northern_Terrace,Mn2+,9,0.23079,0.0682,-0.14139000000000002,-0.004713,-0.018907666666666663,-0.0018800000000000002,0.12890625,False
Deep,Northern_Terrace,Fe2+,9,2.81453,2.86388,0.11429000000000045,0.0038096666666666817,-0.020432,0.021308333333333335,0.42578125,False
Deep,Northern_Terrace,Cr3+,9,0.0041,0.001,0.00019999999999999998,6.666666666666666e-06,-0.00010333333333333334,0.000228,1.0,False
Deep,Northern_Terrace,NO3-,9,1.2,1.1,0.0,0.0,-0.07,0.020000000000000004,0.46875,False
Intermediate,Barind_Tract,As,29,1.0008,3.99806,0.6350600000000002,0.021168666666666672,-0.00628,0.06648533333333334,0.1432539001107216,False
Intermediate,Barind_Tract,Mn2+,29,0.61305,0.097,-0.22431,-0.007477,-0.014789666666666668,-0.0024696666666666665,0.029064036905765533,True
Intermediate,Barind_Tract,Fe2+,29,2.69996,2.63204,-0.5519700000000001,-0.018399000000000002,-0.050127000000000005,0.0028573333333333337,0.08774079009890556,False
Intermediate,Barind_Tract,Cr3+,29,0.0103,0.001,0.00030000000000000003,1e-05,-0.00018,0.00021400000000000002,0.5647306069731712,False
Intermediate,Barind_Tract,NO3-,29,1.0,1.1,0.09999999999999998,0.0033333333333333327,-0.019999999999999997,0.016666666666666666,1.0,False
Intermediate,Brahmaputra_Floodplain,As,35,1.0633,6.16953,1.71391,0.05713033333333333,0.025047666666666666,0.14929366666666663,0.01582449523266405,True
Intermediate,Brahmaputra_Floodplain,Mn2+,35,0.3311,0.0712,-0.23823,-0.007941,-0.011748125,-0.002947666666666666,0.043826959445141256,True
Intermediate,Brahmaputra_Floodplain,Fe2+,35,4.2173,4.32,0.44431,0.014810333333333333,-0.08072266666666668,0.06724933333333333,0.7037710931617767,False
Intermediate,Brahmaputra_Floodplain,Cr3+,35,0.0057,0.001,-0.0021,-7e-05,-0.00016333333333333334,0.00010099999999999999,0.4610774754342467,False
Intermediate,Brahmaputra_Floodplain,NO3-,35,2.1,1.7,-0.10000000000000009,-0.003333333333333336,-0.01333333333333333,0.003333333333333336,0.8507528461187139,False
Intermediate,Eastern_Hills,As,17,0.2156,0.01384,-0.008,-0.0002666666666666667,-0.059326666666666666,0.06275733333333333,0.8899688720703125,False
Intermediate,Eastern_Hills,Mn2+,17,0.25443,0.0848,-0.13167,-0.0043890000000000005,-0.006057666666666667,0.008130666666666668,0.677703857421875,False
Intermediate,Eastern_Hills,Fe2+,17,4.13407,1.77721,-1.88398,-0.06279933333333333,-0.16478633333333334,0.0025649999999999727,0.056884765625,False
Intermediate,Eastern_Hills,Cr3+,17,0.0044,0.001,-0.0031000000000000003,-0.00010333333333333334,-0.0002866666666666667,9.266666666666668e-05,0.3060455322265625,False
Intermediate,Eastern_Hills,NO3-,17,1.4,1.5,0.10000000000000009,0.003333333333333336,-0.003333333333333336,0.04333333333333333,0.17267511033558602,False
Intermediate,GBM_Delta,As,66,20.466,13.87275,0.19427000000000005,0.006475666666666669,-0.31100500000000003,0.14328483333333333,0.1706109259800871,False
Intermediate,GBM_Delta,Mn2+,66,0.302985,0.08255,-0.125445,-0.0041815,-0.0072807374999999995,-0.002092166666666671,0.46451330845560534,False
Intermediate,GBM_Delta,Fe2+,66,4.3518550000000005,4.613915,0.11230500000000002,0.0037435000000000007,-0.033234999999999994,0.04176133333333333,0.54182089715228,False
Intermediate,GBM_Delta,Cr3+,66,0.01155,0.0093,-0.0014999999999999994,-4.999999999999998e-05,-0.00014333333333333334,-1.9999999999999998e-05,0.017943103972297675,True
Intermediate,GBM_Delta,NO3-,66,2.9,2.6,-0.44999999999999996,-0.014999999999999998,-0.04000000000000001,-0.0016666666666666607,0.008290961101722963,True
Intermediate,Ganges_Floodplain,As,36,4.426550000000001,13.450849999999999,-0.01455,-0.000485,-0.09239066666666668,0.2224533333333333,0.6468730494088959,False
Intermediate,Ganges_Floodplain,Mn2+,36,0.755175,0.5634,-0.22899999999999998,-0.007633333333333333,-0.016774795833333335,-0.003571666666666668,0.0015379003889393061,True
Intermediate,Ganges_Floodplain,Fe2+,36,3.70431,2.4979199999999997,-1.18816,-0.03960533333333334,-0.07338383333333333,-0.020711000000000014,0.004354625125415623,True
Intermediate,Ganges_Floodplain,Cr3+,36,0.00855,0.001,-0.00295,-9.833333333333333e-05,-0.00027,-1.5e-05,0.019234851568233548,True
Intermediate,Ganges_Floodplain,NO3-,36,1.15,1.35,0.0,0.0,-0.011666666666666667,0.014999999999999998,0.7140555693133566,False
Intermediate,Meghna_Floodplain,As,41,7.7431,41.6158,13.9971,0.46657,0.21864999999999998,1.0641866666666666,0.0005685117894245195,True
Intermediate,Meghna_Floodplain,Mn2+,41,0.26086,0.7238,0.009509999999999907,0.0003169999999999969,-0.002874666666666667,0.013300000000000001,0.12076014951890102,False
Intermediate,Meghna_Floodplain,Fe2+,41,2.02999,2.47163,0.41039000000000014,0.013679666666666672,-0.0025273333333333406,0.034769666666666664,0.25714455873549014,False
Intermediate,Meghna_Floodplain,Cr3+,41,0.0193,0.001,-0.011800000000000001,-0.00039333333333333337,-0.0008133333333333332,-6.900000000000001e-05,0.006010630432917984,True
Intermediate,Meghna_Floodplain,NO3-,41,1.6,2.0,0.20000000000000007,0.006666666666666669,-0.01333333333333333,0.020000000000000004,0.6407904041301933,False
Intermediate,Northern_Terrace,As,20,1.5482,4.6352899999999995,2.58386,0.08612866666666667,0.0380205,0.19710583333333334,0.001689910888671875,True
Intermediate,Northern_Terrace,Mn2+,20,0.284665,0.07955,-0.108935,-0.0036311666666666667,-0.005917500000000001,0.0006109999999999992,0.34881019592285156,False
Intermediate,Northern_Terrace,Fe2+,20,7.16305,4.27,-1.3491300000000002,-0.044971000000000004,-0.19380083333333337,0.0072591666666666655,0.03623390197753906,True
Intermediate,Northern_Terrace,Cr3+,20,0.00285,0.002025,-0.00039999999999999996,-1.3333333333333332e-05,-6.783333333333335e-05,0.00015700000000000002,0.6406861287492027,False
Intermediate,Northern_Terrace,NO3-,20,1.6,1.25,-0.2499999999999999,-0.00833333333333333,-0.016666666666666663,0.006666666666666669,0.6272960250353408,False
Medium_Deep,Brahmaputra_Floodplain,As,15,0.6407,2.84133,2.50428,0.08347600000000001,-0.012200666666666674,0.209142,0.083251953125,False
Medium_Deep,Brahmaputra_Floodplain,Mn2+,15,0.20013,0.0394,-0.16172999999999998,-0.005390999999999999,-0.006427666666666666,0.013538999999999999,0.76153564453125,False
Medium_Deep,Brahmaputra_Floodplain,Fe2+,15,3.47868,3.4,0.7575399999999997,0.025251333333333324,-0.10020633333333334,0.05887466666666666,1.0,False
Medium_Deep,Brahmaputra_Floodplain,Cr3+,15,0.0035,0.001,-0.0005,-1.6666666666666667e-05,-0.00016049999999999997,2.6666666666666667e-05,0.3785785500503219,False
Medium_Deep,Brahmaputra_Floodplain,NO3-,15,2.5,1.6,-0.7,-0.02333333333333333,-0.08333333333333333,-0.006333333333335144,0.10537319960472753,False
Medium_Deep,Eastern_Hills,As,19,0.0942,2.26094,2.14186,0.07139533333333332,-0.0006866666666666667,0.09021033333333332,0.03234100341796875,True
Medium_Deep,Eastern_Hills,Mn2+,19,0.12961,0.0924,-0.01245,-0.00041499999999999995,-0.0017566666666666668,0.007229666666666667,0.9217147827148438,False
Medium_Deep,Eastern_Hills,Fe2+,19,3.5606,2.23312,-1.00947,-0.033649000000000005,-0.15536066666666667,0.030183333333333333,0.09551239013671875,False
Medium_Deep,Eastern_Hills,Cr3+,19,0.0065,0.0034,-0.0007499999999999998,-2.4999999999999994e-05,-8.200000000000001e-05,1.3333333333333335e-05,0.4413337707519531,False
Medium_Deep,Eastern_Hills,NO3-,19,1.2,1.4,0.30000000000000004,0.010000000000000002,0.0,0.03333333333333333,0.01976533041729735,True
