scenario,dalys_averted_mean,dalys_averted_median,dalys_averted_p2.5,dalys_averted_p97.5,cost_per_daly_mean,cost_per_daly_median,cost_per_daly_p2.5,cost_per_daly_p97.5
S1_deepen_wells,34513052.906493545,34513052.90649356,34513052.90649356,34513052.90649356,73.16072579383224,73.16072579383224,73.16072579383224,73.16072579383224
S2_po4_removal,29419062.86472412,29937201.479957733,15195651.059885178,41677445.40474913,5.518049083882249,5.060593259650023,3.6350597683369363,9.970130225251333
S3_multi_treatment,53645711.082816646,53490715.2912172,39955556.431991264,68099088.02040507,15.31777033128477,15.105425839635583,11.865063446390618,20.222474080113315
S4_seasonal_switch,26011605.80459382,26011605.804593824,26011605.804593824,26011605.804593824,3.882882154940342,3.882882154940343,3.882882154940343,3.882882154940343
S5_fertilizer_policy,9348310.32281751,8881404.582612239,2700317.699212212,18012501.336166833,6.786577758028696,5.629740607829144,2.7758521309301334,18.516382183424604
