iteration,scenario,dalys_averted,total_cost_usd,cost_per_daly,as_reduction_pct,mn_reduction_pct,fe_reduction_pct
14,S2_po4_removal,29937564.35396219,151500000,5.060531919322595,62.93758878158636,6.047748623659569,
14,S3_multi_treatment,52128945.27810663,808000000,15.500025862586323,81.6734948514984,83.04993421825041,60.456554845692445
14,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
14,S5_fertilizer_policy,4415633.178384222,50000000,11.323404363560858,9.57608460166574,,
15,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
15,S2_po4_removal,37038435.4208608,151500000,4.090345563427124,77.97766331053228,7.141531553320772,
15,S3_multi_treatment,49821977.00661764,808000000,16.217742621748567,76.1196658119029,77.03938323143126,97.82435874977506
15,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
15,S5_fertilizer_policy,10501319.722006314,50000000,4.761306323739596,22.77397646601414,,
16,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
16,S2_po4_removal,31890362.152353927,151500000,4.750651600512392,68.07260418850183,3.3088374997530776,
16,S3_multi_treatment,50183349.399188265,808000000,16.10095798055818,82.26160721708587,63.25630042868499,85.55985206256148
16,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
16,S5_fertilizer_policy,14495403.307499684,50000000,3.449369357948862,31.435855923764876,,
17,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
17,S2_po4_removal,20792187.12806537,151500000,7.286390751817771,37.87041081464652,21.974969268592005,
17,S3_multi_treatment,49029827.87889704,808000000,16.47976415490889,72.14129562280891,90.46450062095566,66.00033628638194
17,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
17,S5_fertilizer_policy,9563741.658325784,50000000,5.228079321493606,20.74067195548048,,
18,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
18,S2_po4_removal,29858984.290828355,151500000,5.0738497506941505,54.88899400244035,30.022188785549364,
18,S3_multi_treatment,56089510.09963322,808000000,14.405545681620843,97.03778134073706,57.33306195920548,85.24628431244768
18,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
18,S5_fertilizer_policy,14431817.129722826,50000000,3.4645671817046013,31.29795800668504,,
19,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
19,S2_po4_removal,35043173.04521546,151500000,4.3232386463555335,73.84368071672353,6.553905967038672,
19,S3_multi_treatment,49086852.54731715,808000000,16.460619454488967,78.41656513072401,74.83087837977833,50.995100852540666
19,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
19,S5_fertilizer_policy,8680830.657747045,50000000,5.759817461175611,18.825922678146433,,
20,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
20,S2_po4_removal,23535865.296933167,151500000,6.4369844953073025,48.281030734457026,8.401124679372945,
20,S3_multi_treatment,42291689.83785243,808000000,19.105408251547654,58.83736736148194,80.12101250261334,96.92025487229586
20,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
20,S5_fertilizer_policy,12339986.581185624,50000000,4.0518682634739145,26.76145202987495,,
21,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
21,S2_po4_removal,42755091.065762356,151500000,3.5434376637620812,86.51505191432055,18.88866046719752,
21,S3_multi_treatment,39757076.76037434,808000000,20.32342581095724,56.860725945962585,74.09166796630699,74.15476642328656
21,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
21,S5_fertilizer_policy,2724093.846816726,50000000,18.354727410888625,5.907681205878527,,
22,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
22,S2_po4_removal,35799744.14821006,151500000,4.231873819343337,75.42642250109847,6.730460057394456,
22,S3_multi_treatment,68057781.11189055,808000000,11.872264813799992,93.06189995448666,83.01548440397436,90.78807266686371
22,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
22,S5_fertilizer_policy,7481257.927949615,50000000,6.683368022001011,16.2244362135043,,
23,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
23,S2_po4_removal,28812586.983280785,151500000,5.25811861628085,61.37365441313347,3.38262712441587,
23,S3_multi_treatment,41750514.2104978,808000000,19.353055052836584,58.90705001620242,76.32611852545705,96.97517603071249
23,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
23,S5_fertilizer_policy,8459757.927278817,50000000,5.910334601747063,18.346487207725488,,
24,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
24,S2_po4_removal,34393876.97814011,151500000,4.404853808609295,68.49006308602783,18.5606442852959,
24,S3_multi_treatment,55780157.96676989,808000000,14.485437643997937,94.78353401996905,64.65438342652186,73.07851209042606
24,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
24,S5_fertilizer_policy,17423902.401245244,50000000,2.8696212162222983,37.78682620247598,,
25,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
25,S2_po4_removal,29953637.792215347,151500000,5.057816384471783,63.176703542662324,5.426166099987135,
25,S3_multi_treatment,55175818.51510537,808000000,14.644096304231455,89.65171971158988,72.45546240525826,91.68502375598261
25,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
25,S5_fertilizer_policy,17324116.434562378,50000000,2.8861500780638827,37.57042261539995,,
26,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
26,S2_po4_removal,17269649.914289065,151500000,8.772615585834634,36.0926949325144,4.137481692769064,
26,S3_multi_treatment,53264205.06565182,808000000,15.16966223384136,91.79544532141288,55.05944714419262,83.20895680720668
26,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
26,S5_fertilizer_policy,3781553.5494262427,50000000,13.222079059963667,8.20097033700751,,
27,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
27,S2_po4_removal,29569287.4935131,151500000,5.123559369945455,61.28859681495763,8.635389800275478,
27,S3_multi_treatment,48174362.30281378,808000000,16.77240676111256,77.378279594679,63.29190712226903,93.17554843352303
27,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
27,S5_fertilizer_policy,17627406.70695597,50000000,2.836492107501522,38.22816142430304,,
28,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
28,S2_po4_removal,25468764.247017868,151500000,5.948462930145467,52.94269693839225,6.971359163868144,
28,S3_multi_treatment,68099065.50256531,808000000,11.86506736967723,98.25753761438847,72.41263097947032,99.05366170141096
28,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
28,S5_fertilizer_policy,6155029.330533639,50000000,8.123438137323225,13.348274010499248,,
29,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
29,S2_po4_removal,34907268.333378315,151500000,4.3400703416009145,69.16275208180073,19.901731652715977,
29,S3_multi_treatment,48186753.6950664,808000000,16.768093678050096,81.4182049847091,50.97718375656457,93.67347917670564
29,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
29,S5_fertilizer_policy,11388691.653790437,50000000,4.390319934894257,24.698400064764623,,
30,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
30,S2_po4_removal,23931156.93734166,151500000,6.330659248805588,46.610823521183754,16.09257301542411,
30,S3_multi_treatment,48041978.95835389,808000000,16.81862440971531,71.23506489524024,80.03383167704887,98.42146026621712
30,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
30,S5_fertilizer_policy,17584220.528486878,50000000,2.8434584245004633,38.13450452801301,,
31,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
31,S2_po4_removal,38867763.04841536,151500000,3.8978317278327816,76.41290169815245,23.976156497771136,
31,S3_multi_treatment,56822727.213581905,808000000,14.219662441806733,96.20857952514478,63.13449936312626,92.83440366669265
31,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
31,S5_fertilizer_policy,8642679.35892675,50000000,5.785242969630312,18.743184812384666,,
32,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
32,S2_po4_removal,12141468.226982899,151500000,12.477897826500929,23.501309427057514,8.61094351301377,
32,S3_multi_treatment,53891235.757266775,808000000,14.9931614787855,87.2744094683429,70.23319053250418,96.44455234973466
32,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
32,S5_fertilizer_policy,4635127.1421198845,50000000,10.787190613531347,10.052096236096128,,
33,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
33,S2_po4_removal,25310023.6326821,151500000,5.9857707838870775,52.69751685818673,6.669853143367506,
33,S3_multi_treatment,53895203.539647266,808000000,14.99205767737023,86.8400962421424,73.79216116921535,85.69541417179603
33,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
33,S5_fertilizer_policy,8537731.879332684,50000000,5.856356314144177,18.51558756806549,,
34,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
34,S2_po4_removal,30651384.777530998,151500000,4.942680440038621,64.37897066741401,6.372343963023665,
34,S3_multi_treatment,57455989.71175761,808000000,14.06293763371817,88.08429521342782,92.01490442028476,92.94254574086668
34,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
34,S5_fertilizer_policy,3821535.449568197,50000000,13.083746221862105,8.287678186782884,,
35,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
35,S2_po4_removal,35687497.79245463,151500000,4.2451841505131105,69.72605788563415,23.336712428417712,
35,S3_multi_treatment,46939938.3561212,808000000,17.213486602174733,79.6639515544619,47.18926379603546,98.03848336595851
35,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
35,S5_fertilizer_policy,10245295.940908194,50000000,4.880288503951967,22.218743436278835,,
36,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
36,S2_po4_removal,40893331.803162694,151500000,3.70476049076253,87.87970350829785,2.4489634344279643,
36,S3_multi_treatment,55822042.091469534,808000000,14.474569000467914,90.953547566191,72.74079486935233,91.77172178533078
36,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
36,S5_fertilizer_policy,8776962.532822065,50000000,5.696731621335001,19.034401718738263,,
37,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
37,S2_po4_removal,38577774.46313961,151500000,3.9271316738282973,83.22559983776627,1.3303230484673385,
37,S3_multi_treatment,54363649.737373725,808000000,14.862872597836622,91.17683069808086,62.20832374433923,92.8810181504893
37,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
37,S5_fertilizer_policy,12551596.182152152,50000000,3.9835570930092477,27.22036502366708,,
38,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
38,S2_po4_removal,30260097.598187536,151500000,5.006593237461146,62.08319578999601,10.776380126425572,
38,S3_multi_treatment,54576433.6976025,808000000,14.804924859637627,84.92757205697484,85.11474909725926,80.8016358359943
38,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
38,S5_fertilizer_policy,13389625.026409477,50000000,3.734234521234226,29.03777937559491,,
39,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
39,S2_po4_removal,18110321.023022085,151500000,8.365395611011596,38.39390663557399,2.682654322050742,
39,S3_multi_treatment,68106440.04314296,808000000,11.863782624494267,99.1856230269009,74.39016991326125,63.895940524178485
39,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
39,S5_fertilizer_policy,9920649.300713822,50000000,5.039992694470345,21.514689551692953,,
40,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
40,S2_po4_removal,38819795.492187366,151500000,3.9026480711494207,77.1679440254076,21.361886930440953,
40,S3_multi_treatment,56740567.92773614,808000000,14.240252248251297,95.06561090051801,65.12297820011248,97.44071165995805
40,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
40,S5_fertilizer_policy,9691279.553883158,50000000,5.159277443396596,21.01726052804451,,
41,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
41,S2_po4_removal,40562058.980624154,151500000,3.7350174968279872,83.81359744176422,12.636443956138873,
41,S3_multi_treatment,55399785.06443845,808000000,14.584894130187907,91.46825423120603,69.47740035015303,86.47442059345025
41,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
41,S5_fertilizer_policy,5521031.178512305,50000000,9.05627923178528,11.973336443045428,,
42,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
42,S2_po4_removal,26635542.564019687,151500000,5.687888641121657,49.361859514963605,25.568634236014194,
42,S3_multi_treatment,52182418.078238145,808000000,15.484142547563614,82.54114018281798,76.01440957410819,83.53887739807632
42,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
42,S5_fertilizer_policy,5870273.0428928435,50000000,8.51749137300098,12.730729438487861,,
43,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
43,S2_po4_removal,15234619.399101317,151500000,9.944455849611636,25.41280745848793,23.20753688031518,
43,S3_multi_treatment,52397635.45739686,808000000,15.4205431780784,85.30107088210049,65.94194830486147,98.57985372901746
43,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
43,S5_fertilizer_policy,15293620.558761902,50000000,3.2693370289845713,33.16693176720554,,
44,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
44,S2_po4_removal,27527725.264347374,151500000,5.503542284920132,57.68164743560741,6.138365498045731,
44,S3_multi_treatment,52428049.53818832,808000000,15.411597553547303,80.48912131235768,81.8499662970551,93.40807516590765
44,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
44,S5_fertilizer_policy,8666314.32120148,50000000,5.76946532826288,18.79444142477894,,
45,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
45,S2_po4_removal,26106042.875616893,151500000,5.803254086489736,54.71075761667284,5.796678554640462,
45,S3_multi_treatment,68058120.08224745,808000000,11.872205682783205,93.10455935003755,92.2427925297874,92.6105465512056
45,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
45,S5_fertilizer_policy,11505089.215251662,50000000,4.345902849125043,24.950828844726892,,
46,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
46,S2_po4_removal,34286742.297932036,151500000,4.41861751354364,69.97465656759285,13.335765815039553,
46,S3_multi_treatment,53603439.877895035,808000000,15.073659486043594,88.88130331379199,64.86658203948711,89.5280076955506
46,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
46,S5_fertilizer_policy,13836133.279274836,50000000,3.6137263923942586,30.006111805406327,,
47,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
47,S2_po4_removal,25778421.479910105,151500000,5.877008416441188,52.64814462089492,9.911338073216267,
47,S3_multi_treatment,53479914.93474334,808000000,15.108475789199154,85.62659952230499,75.01612756670013,84.37379174718146
47,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
47,S5_fertilizer_policy,10881150.560379006,50000000,4.595102303065498,23.59770708303731,,
48,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
48,S2_po4_removal,41984615.95147004,151500000,3.608464590342297,86.79870928133896,12.940623126849788,
48,S3_multi_treatment,54282335.87840266,808000000,14.885136885228983,83.63597851410317,84.86723648875613,91.6770920367488
48,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
48,S5_fertilizer_policy,9347089.604282826,50000000,5.349258658769041,20.270823506837548,,
49,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
49,S2_po4_removal,27063528.582068928,151500000,5.597939660402489,57.409053207560824,3.9043970574615594,
49,S3_multi_treatment,43054949.76170997,808000000,18.766715661542314,61.14744052524721,80.68168341592734,84.50733735994855
49,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
49,S5_fertilizer_policy,13496205.17122472,50000000,3.7047451017271933,29.2689173443476,,
50,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
50,S2_po4_removal,34458933.28681491,151500000,4.396537720393357,72.8393709611845,5.754417429386393,
50,S3_multi_treatment,57803163.83814391,808000000,13.978473605052159,93.75013740692228,77.976817416419,88.50561961937325
50,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
50,S5_fertilizer_policy,7404479.836083755,50000000,6.752668804139131,16.05792928832286,,
51,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
51,S2_po4_removal,39043086.91848029,151500000,3.880328425780555,82.71430810152995,5.957133419737263,
51,S3_multi_treatment,57709392.90101275,808000000,14.001186971173636,99.07937303486698,59.29263405921591,97.48807392676976
51,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
51,S5_fertilizer_policy,10111008.437859118,50000000,4.945105160112683,21.927517141386545,,
52,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
52,S2_po4_removal,25462416.591855496,151500000,5.9499458526831015,46.68617387202282,25.96897106033379,
52,S3_multi_treatment,53748211.19174181,808000000,15.033058442029525,95.64011593837135,43.28234428081061,99.11293035972483
52,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
52,S5_fertilizer_policy,16018230.20764266,50000000,3.121443464843193,34.73837645487423,,
53,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
53,S2_po4_removal,25874856.887656555,151500000,5.855104847836749,55.457130437487976,1.9996233255131315,
53,S3_multi_treatment,55577733.40576248,808000000,14.538196333070035,88.36602580983235,83.04016078084324,72.14369149542338
53,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
53,S5_fertilizer_policy,11762133.439473592,50000000,4.250929498232059,25.508274886569378,,
54,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
54,S2_po4_removal,33976652.93329285,151500000,4.458944213764771,65.06242567104175,26.237928808155687,
54,S3_multi_treatment,53910903.51426582,808000000,14.987691678849128,96.98705119952469,41.94579994865259,90.90358106060008
54,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
54,S5_fertilizer_policy,8847487.245545149,50000000,5.6513220773701365,19.187347080878077,,
55,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
55,S2_po4_removal,30494350.244395353,151500000,4.96813340129602,61.3108560467979,14.672695168514155,
55,S3_multi_treatment,50927299.4490439,808000000,15.865753902942702,83.99554101847973,62.005765828691516,89.85587516620366
55,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
55,S5_fertilizer_policy,9663151.954663336,50000000,5.174295119706828,20.95626083470739,,
56,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
56,S2_po4_removal,27285871.159867965,151500000,5.552324098884776,57.60885485862205,4.763743665618022,
56,S3_multi_treatment,68106763.99926986,808000000,11.863726193314106,99.22639288266357,71.72414361111686,94.79882942856193
56,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
56,S5_fertilizer_policy,9725685.178021617,50000000,5.141025962159605,21.091875233164505,,
57,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
57,S2_po4_removal,11971792.265302993,151500000,12.654746811726916,21.242306358068518,14.36562297279762,
57,S3_multi_treatment,57351560.63324684,808000000,14.08854425369552,90.55314686386535,84.68571939314899,88.69814241102709
57,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
57,S5_fertilizer_policy,16531993.567494929,50000000,3.0244386314249234,35.85256352622458,,
58,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
58,S2_po4_removal,26229133.12580082,151500000,5.776020094654747,52.771163813877195,12.511489126022513,
58,S3_multi_treatment,44312049.84008728,808000000,18.23431781910111,72.04831155106253,56.58227249492048,80.7292380521139
58,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
58,S5_fertilizer_policy,9838185.896266416,50000000,5.082237775053119,21.335853016675614,,
59,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
59,S2_po4_removal,24628574.531372108,151500000,6.151391336393338,49.54273812444713,11.773009784162607,
59,S3_multi_treatment,49643095.0163697,808000000,16.27618100228368,82.18873731274238,57.247539961246176,98.5158101711278
59,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
59,S5_fertilizer_policy,9179539.24118676,50000000,5.446896482087029,19.9074607936706,,
60,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
60,S2_po4_removal,34266017.52710216,151500000,4.421289981544354,73.27626700776358,3.1517129187498836,
60,S3_multi_treatment,47681037.93193139,808000000,16.945939833639667,71.44763471711613,79.87356874588278,84.47555890100311
60,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
60,S5_fertilizer_policy,4881145.234136775,50000000,10.243497704251867,10.585630152415742,,
61,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
61,S2_po4_removal,36537214.66067627,151500000,4.146457287644703,76.23320741439741,9.142306804116878,
61,S3_multi_treatment,54183761.60380798,808000000,14.912216798606588,93.62619450284127,53.572248287567035,92.85728383059909
61,S4_seasonal_switch,26011605.804593824,101000000,3.882882154940343,,,
61,S5_fertilizer_policy,9664386.312144063,50000000,5.173634246922751,20.95893775808094,,
62,S1_deepen_wells,34513052.90649356,2525000000,73.16072579383224,,,
62,S2_po4_removal,21283418.679287374,151500000,7.118217344821439,43.1581147183659,9.125653488616267,
62,S3_multi_treatment,51475311.09805503,808000000,15.696845395666388,77.60536639344689,85.69632108432272,86.80448727383775
