phys_zone,season,population,gw_dependent_pop,n_samples,median_HI_multi,median_CR_multi,median_As_ugL,DALY_multi,DALY_as_only,DALY_ratio,YLL,YLD,est_cancer_cases,DALY_per_100k
Barind_Tract,Dry,8500000,8245000.0,87,2.6782452777777777,4.986375e-05,1.0008,1624075.4044769402,269691.9201750184,6.021965372277322,3279.47019226047,1620795.9342846798,205.56330937500002,19106.76946443459
Barind_Tract,Wet,8500000,8245000.0,87,2.918737666666666,0.0001326155,2.69608,1809196.117236518,278304.3635841292,6.500782430921578,8721.938869052537,1800474.1783674657,546.70739875,21284.660202782565
Northern_Terrace,Dry,12000000,11640000.0,65,2.336653888888889,6.0003750000000006e-05,1.4228,1931710.7731011664,383758.85613899626,5.033657835381672,5571.337458306098,1926139.43564286,349.2218250000001,16097.589775843053
Northern_Terrace,Wet,12000000,11640000.0,65,2.2221700000000006,0.000181823,4.20528,1827611.0576068172,403808.92362055177,4.525930336606859,16882.23303846159,1810728.8245683555,1058.2098600000002,15230.092146723477
Brahmaputra_Floodplain,Dry,25000000,24250000.0,102,1.5939895833333333,3.1975625e-05,0.6583,2275699.1537161605,788119.0664732605,2.887506787393997,6185.273049436108,2269513.8806667244,387.70445312500004,9102.796614864641
Brahmaputra_Floodplain,Wet,25000000,24250000.0,105,2.767257777777777,0.0001628926249999,4.12362,5011881.317201927,840034.6290094538,5.9662794176852,31509.48146795516,4980371.835733972,1975.0730781237874,20047.52526880771
Ganges_Floodplain,Dry,18000000,17460000.0,113,3.6120497222222223,0.0002300375,5.5763,4882588.570826902,776175.7011472399,6.29057127607848,32038.411113432623,4850550.1597134685,2008.227375,27125.492060149456
Ganges_Floodplain,Wet,18000000,17460000.0,115,4.620135277777777,0.0004213025,11.2014,6300521.6574223805,2738439.935451745,2.300770440810497,58676.792688657064,6241844.864733722,3677.9708250000003,35002.898096791
GBM_Delta,Dry,22000000,21340000.0,265,2.9035220833333333,0.0002461687499999,4.8362,4685655.701342388,748720.7384158925,6.258215461289445,41903.99477068003,4643751.7065717075,2626.6205624989334,21298.435006101765
GBM_Delta,Wet,22000000,21340000.0,258,5.140288972222221,0.00036550543749995,9.269025,8479509.889853869,2552296.9753757194,3.3223053475607456,62218.04327990146,8417291.846573967,3899.943018124467,38543.22677206304
Meghna_Floodplain,Dry,35000000,33950000.0,143,2.909650555555556,0.0001625575,3.4939,7437860.477074025,1162749.6169399605,6.396786005097506,44022.51819087802,7393837.958883147,2759.4135625,21251.029934497215
Meghna_Floodplain,Wet,35000000,33950000.0,146,3.9870115277777782,0.00035106249999995,9.070015000000001,10577089.819989983,3927569.46972024,2.6930369791125264,95071.9301932111,10482017.889796773,5959.285937499151,30220.256628542807
Eastern_Hills,Dry,15000000,14550000.0,61,1.362446805555556,1.8170000000000004e-05,0.1025,1020069.6918240828,467923.7988262434,2.1799910463687926,2108.851563806883,1017960.8402602759,132.18675000000002,6800.464612160552
Eastern_Hills,Wet,15000000,14550000.0,61,1.181404111111111,9.698949999999998e-05,2.23587,766346.9042395282,486987.1576290273,1.5736491039529816,11256.822165539217,755090.0820739891,705.5986125,5108.979361596855
