phys_zone,mean_percentile,trend_pct_per_yr,trend_p_value,seasonal_amplitude,n_observations
Northern_Terrace,26.421489228372987,-3.2851488480157367,1.8178015352100122e-08,95.3821707367897,345
Barind_Tract,20.80139961078547,-2.661838160581523,6.963450333696945e-06,87.46079787611961,345
Eastern_Hills,31.000115096223528,-1.6967585257115179,0.0017712567097311084,81.64493179321289,345
Ganges_Floodplain,29.898962303693743,-1.4027905546150874,0.02883588948222735,94.92721658945084,345
Brahmaputra_Floodplain,31.89474236861519,-1.3255158489631615,0.03266144776799898,88.114786028862,345
Meghna_Floodplain,29.708130349283632,-1.0042548595849916,0.08443991898941518,90.8728039264679,345
GBM_Delta,43.75420074670211,0.9489429780657144,0.13819766208003756,86.41956448554993,345
