depth_zone,phys_zone,contaminant,dry_median,wet_median,delta_median,delta_pct,sensitivity_per_pct,sensitivity_CI_lo,sensitivity_CI_hi,delta_pct_CI_lo,delta_pct_CI_hi,mann_whitney_p,effect_size_r,n_dry,n_wet,significant,n_pairs
Deep,Brahmaputra_Floodplain,As,0.47725,3.312635,2.38205,499.11995809324253,0.07940166666666666,0.049953333333333336,0.15140499999999998,314.00733368255635,951.7338920900993,4.410743713378906e-05,,26,26,True,26
Deep,Brahmaputra_Floodplain,Mn2+,0.22784,0.0939,-0.11967,-52.523700842696634,-0.003989,-0.006157000000000001,0.005373999999999998,-81.07004915730339,70.76018258426963,1.0,,26,26,False,26
Deep,Brahmaputra_Floodplain,Fe2+,1.3447149999999999,1.597905,0.02441000000000007,1.815254533488514,0.000813666666666669,-0.01581433333333333,0.005937999999999999,-35.281081864930485,13.24741673886288,0.8809217512607574,,26,26,False,26
Deep,Brahmaputra_Floodplain,Cr3+,0.0034000000000000002,0.001,-0.0024000000000000002,-70.58823529411765,-8e-05,-0.00013744166666666664,-3.666666666666666e-05,-121.27205882352939,-32.35294117647058,0.000125885009765625,,26,26,True,26
Deep,Brahmaputra_Floodplain,NO3-,1.75,1.4,-0.5,-28.571428571428573,-0.016666666666666666,-0.03333333333333333,-0.006666666666666665,-57.142857142857146,-11.428571428571427,0.01417162605513685,,26,26,True,26
Deep,Eastern_Hills,As,0.10005,2.13937,1.8863699999999999,1885.4272863568217,0.06287899999999999,0.0034436666666666665,0.15326466666666666,103.2583708145927,4595.642178910544,0.0055999755859375,,18,18,True,18
Deep,Eastern_Hills,Mn2+,0.226445,0.06895,-0.08718999999999999,-38.50383095232838,-0.002906333333333333,-0.008587333333333334,-0.00043766666666666677,-113.76713992360176,-5.798317472233876,0.2121429443359375,,18,18,False,18
Deep,Eastern_Hills,Fe2+,5.62028,2.07693,-3.710305,-66.01637284975126,-0.12367683333333333,-0.2348565,0.014464666666666662,-125.36199264093602,7.720967638622984,0.0182342529296875,,18,18,True,18
Deep,Eastern_Hills,Cr3+,0.0066,0.001715,-0.0017499999999999998,-26.515151515151512,-5.8333333333333326e-05,-0.00016433333333333333,3.7833333333333336e-05,-74.6969696969697,17.1969696969697,0.34654998779296875,,18,18,False,18
Deep,Eastern_Hills,NO3-,1.6,1.5,0.0,0.0,0.0,-0.02333333333333333,0.030000000000000002,-43.749999999999986,56.25000000000001,0.930566826299238,,18,18,False,18
Deep,GBM_Delta,As,3.5416,4.921105,2.168845,61.23912920713802,0.07229483333333334,-0.0017963333333333332,0.12174883333333335,-1.5216286424215042,103.13036480686698,0.5868832240177642,,62,62,False,62
Deep,GBM_Delta,Mn2+,0.22139999999999999,0.0523,-0.09284,-41.93315266485999,-0.003094666666666667,-0.004320333333333333,-0.0019431666666666666,-58.54110207768745,-26.330171635049687,0.15163949371302582,,62,62,False,62
Deep,GBM_Delta,Fe2+,1.6623450000000002,2.4926000000000004,0.049150000000000006,2.9566666365886745,0.0016383333333333334,-0.01729066666666667,0.014813333333333335,-31.204112263098214,26.733319497456904,0.8306736016164986,,62,62,False,62
Deep,GBM_Delta,Cr3+,0.009049999999999999,0.00836,-0.0024000000000000002,-26.51933701657459,-8e-05,-0.0002026666666666665,3.2333333333333345e-05,-67.1823204419889,10.7182320441989,0.14572404657029583,,62,62,False,62
Deep,GBM_Delta,NO3-,2.2,1.7,-0.19999999999999984,-9.090909090909083,-0.006666666666666662,-0.020000000000000004,0.006666666666666672,-27.272727272727277,9.090909090909097,0.29258703769111216,,62,62,False,62
Deep,Ganges_Floodplain,As,10.1645,10.97315,1.283865,12.630872153081805,0.0427955,-0.19975266666666672,0.2363323333333333,-58.955974224014966,69.75227507501597,0.5830078125,,14,14,False,14
Deep,Ganges_Floodplain,Mn2+,0.2566,0.3014,0.08939500000000003,34.83826968043649,0.0029798333333333343,-0.00672,0.04336666666666667,-78.56586126266563,507.01480904130943,0.1937255859375,,14,14,False,14
Deep,Ganges_Floodplain,Fe2+,2.67919,3.3053850000000002,-0.22033999999999976,-8.224127441502834,-0.007344666666666658,-0.025451666666666664,0.04439933333333333,-28.49928523173048,49.715772304315855,0.9515380859375,,14,14,False,14
Deep,Ganges_Floodplain,Cr3+,0.00615,0.001,-0.0041849999999999995,-68.04878048780486,-0.00013949999999999998,-0.0001933333333333333,8.566666666666664e-05,-94.30894308943088,41.788617886178855,0.2957763671875,,14,14,False,14
Deep,Ganges_Floodplain,NO3-,1.3,1.6,0.3999999999999999,30.769230769230763,0.01333333333333333,0.0,0.016666666666666663,0.0,38.46153846153845,0.30763534293707717,,14,14,False,14
Deep,Meghna_Floodplain,As,2.1632,7.55847,4.340225,200.63909948224855,0.1446741666666667,0.08316250000000001,0.20153,115.33260909763318,279.48872041420117,9.054644033312798e-05,,32,32,True,32
Deep,Meghna_Floodplain,Mn2+,0.27423,0.09315,-0.184185,-67.1644240236298,-0.0061395,-0.007216333333333334,0.0029223333333333336,-78.9446814717573,31.969514640994788,0.691578262951225,,32,32,False,32
Deep,Meghna_Floodplain,Fe2+,3.8022650000000002,3.06708,-0.14575500000000002,-3.833373002670777,-0.004858500000000001,-0.03841866666666667,0.02418733333333334,-30.312458495133825,19.083888156138514,0.573302308563143,,32,32,False,32
