phys_zone,depth_zone,season,n_samples,As_median_ugL,Mn_median_mgL,Fe_median_mgL,HI_multi_median,HI_multi_CI_lo,HI_multi_CI_hi,HI_multi_mean,HI_as_only_median,HI_exceed_pct,HI_ratio_median,CR_multi_median,CR_multi_CI_lo,CR_multi_CI_hi,CR_as_only_median,CR_exceed_pct,CR_ratio_median
Barind_Tract,Shallow,Dry,53,0.7997,0.73547,0.85185,2.7778540277777775,2.1460830555555552,4.101555138888889,5.219367822327043,0.15549722222222223,81.13207547169812,8.78939783105023,4.986375e-05,2.6470000000000002e-05,0.00020110000000000004,2.9988749999999996e-05,43.39622641509434,1.5219985085756897
Barind_Tract,Shallow,Wet,54,1.5506099999999998,0.6193500000000001,1.24637,3.3194571944444444,2.0536064020833327,4.437606611111111,4.318502281893005,0.30150750000000004,74.07407407407408,2.3761282248045412,8.181975000000001e-05,3.97e-05,0.000192339875,5.8147875e-05,46.2962962962963,1.0284205021602468
Barind_Tract,Intermediate,Dry,30,0.9025,0.61833,2.69995,2.8532053472222225,1.726914236111111,3.653713472222222,3.524537888888889,0.17548611111111112,90.0,16.77712189191355,4.778125e-05,1.8415000000000002e-05,0.000114909375,3.384374999999999e-05,40.0,1.4120814266269153
Barind_Tract,Intermediate,Wet,29,3.99806,0.097,2.63204,2.868570833333334,1.8695469444444446,3.548658333333333,4.24705561302682,0.7774005555555558,79.3103448275862,2.5742098262334907,0.00015186525,3.35125e-05,0.000175139,0.00014992725000000003,62.06896551724138,1.0145313052978195
Barind_Tract,Medium_Deep,Dry,4,2.19575,0.37917,2.023025,1.6252365972222222,0.6515618055555557,2.3152673611111116,1.554325590277778,0.4269513888888889,75.0,3.128641511054309,9.140312500000001e-05,3.5338750000000004e-05,0.00016562749999999999,8.2340625e-05,50.0,1.0769998871728241
Barind_Tract,Medium_Deep,Wet,4,8.124604999999999,0.03635,2.356425,2.807944305555556,1.046745388888889,17.974723777777776,6.159339444444445,1.5797843055555556,100.0,2.0036699008770955,0.0003339539375,0.00016797362500000002,0.0006833274999999998,0.0003046726875,100.0,1.1023608528982827
Northern_Terrace,Shallow,Dry,26,1.14405,0.55535,4.36683,2.575306041666667,1.1531893055555558,3.368167638888889,3.421291266025641,0.22245416666666673,80.76923076923077,13.082617706070334,4.908937500000001e-05,1.1238750000000001e-05,6.784125000000001e-05,4.290187500000001e-05,23.076923076923077,1.172985167161579
Northern_Terrace,Shallow,Wet,27,3.20695,0.0606,4.72,2.5158136111111107,1.1928977777777776,3.5532441666666665,4.104975308641976,0.6235736111111112,74.07407407407408,2.3463925134749237,0.000122828375,6.2797625e-05,0.000265930125,0.00012026062500000001,59.25925925925925,1.0214055978834493
Northern_Terrace,Intermediate,Dry,21,1.8745,0.2884,7.90227,2.336653888888889,1.254613888888889,2.6970798611111113,3.1097636507936515,0.3644861111111112,85.71428571428571,6.426240749184525,7.796749999999999e-05,2.5761249999999997e-05,0.00011033625,7.029375000000001e-05,38.095238095238095,1.0690331722559314
Northern_Terrace,Intermediate,Wet,20,4.6352899999999995,0.07955,4.27,2.246629888888889,1.0027716944444445,4.030618555555556,3.128820355555556,0.901306388888889,70.0,1.9631948152007588,0.000186510875,9.035806250000001e-05,0.00031688749999999997,0.000173823375,70.0,1.0126332970757708
Northern_Terrace,Medium_Deep,Dry,9,4.0949,0.36571,4.83835,2.549829166666666,1.487164027777778,4.465530138888888,3.817625802469136,0.7962305555555557,100.0,2.2771456659508105,0.00015455875000000002,2.6571249999999994e-05,0.0005779749999999999,0.00015355875000000002,66.66666666666666,1.0600899632592797
Northern_Terrace,Medium_Deep,Wet,9,8.99407,0.0651,4.76,3.245040000000001,1.7758197222222218,7.457845555555557,4.470282203703705,1.748846944444445,88.88888888888889,1.7847688507011126,0.0003385276250000001,0.00014275450000000002,0.00074802125,0.0003372776250000001,88.88888888888889,1.0041901366696877
Northern_Terrace,Deep,Dry,9,1.7324,0.23079,2.81453,1.4180470833333336,0.6572761111111111,2.5031675,1.7132127006172841,0.3368555555555556,66.66666666666666,4.028408980464574,6.909e-05,4.265750000000001e-05,0.00014698375,6.4965e-05,33.33333333333333,1.074816299265197
Northern_Terrace,Deep,Wet,9,3.84969,0.0682,2.86388,1.5793366666666668,0.7781555555555555,3.171394166666667,1.9604874506172838,0.7485508333333333,66.66666666666666,1.641677641576335,0.000145613375,2.4111125e-05,0.00052235375,0.000144363375,77.77777777777779,1.0245430861925022
Brahmaputra_Floodplain,Shallow,Dry,23,0.7136,0.36365,2.66452,1.7851559722222219,1.2754179166666666,3.642212777777778,3.1858340036231887,0.13875555555555558,73.91304347826086,28.939746156310054,2.7884999999999998e-05,1.22025e-05,0.00016151,2.6759999999999998e-05,39.130434782608695,1.9078212290502794
Brahmaputra_Floodplain,Shallow,Wet,25,6.39768,0.0606,3.20006,2.863680888888889,2.3354554444444435,5.810282222222222,5.563790535555557,1.2439933333333335,92.0,2.2135940057900276,0.00024116300000000002,0.00012072737499999999,0.0006641762500000001,0.00023991300000000002,72.0,1.0111754755653588
Brahmaputra_Floodplain,Intermediate,Dry,36,1.0627499999999999,0.328785,3.790615,2.3507647222222223,1.3052305434027778,4.676395138888887,4.387194425154322,0.20664583333333336,72.22222222222221,13.470760521374523,4.572812500000001e-05,1.921125e-05,0.00030821375000000004,3.9853125e-05,41.66666666666667,1.2051656839609943
Brahmaputra_Floodplain,Intermediate,Wet,37,5.7837,0.0712,4.13412,3.7286624999999995,2.396603333333334,4.960558611111111,5.328760108108108,1.1246083333333332,86.48648648648648,2.479438656766042,0.00021813874999999992,0.00011315525000000001,0.00042668124999999997,0.00021688874999999992,64.86486486486487,1.0138243751382439
Brahmaputra_Floodplain,Medium_Deep,Dry,16,0.4419,0.24042999999999998,3.21312,1.6856715972222225,1.1438601128472226,2.116902083333333,1.6911887239583332,0.085925,75.0,30.33754245728258,3.8316249999999994e-05,8.3875e-06,9.281329687499981e-05,1.6571249999999998e-05,25.0,1.2810364389299895
Brahmaputra_Floodplain,Medium_Deep,Wet,16,2.7943550000000004,0.06135,3.235,2.5974379166666663,1.7405208333333333,3.1985997222222227,2.8354354270833335,0.5433468055555557,93.75,4.172451227720183,0.0001080815,3.6297125000000004e-05,0.0001776807,0.0001047883125,56.25,1.0112982860500062
Brahmaputra_Floodplain,Deep,Dry,27,0.2965,0.22946,1.32796,0.8928563888888889,0.8152579166666668,1.403944583333333,1.243331378600823,0.057652777777777775,48.148148148148145,14.140826306914,1.597125e-05,6.151249999999999e-06,6.245125000000002e-05,1.111875e-05,22.22222222222222,1.4905269789838442
Brahmaputra_Floodplain,Deep,Wet,27,2.97336,0.0924,1.59578,2.669856666666666,1.4840422222222223,3.047326944444445,2.386279232510288,0.5781533333333333,74.07407407407408,1.853958531942963,0.00011275099999999999,7.699812500000001e-05,0.000199356875,0.00011150099999999999,59.25925925925925,1.0089749184084447
Ganges_Floodplain,Shallow,Dry,31,5.5763,0.48376,2.83742,3.9035824999999997,3.053001388888889,5.022575833333334,16.079714874551975,1.0842805555555557,100.0,2.2843344021181577,0.00023998625000000003,0.00018209874999999996,0.0005599625000000001,0.00020911125000000003,77.41935483870968,1.0297042202270887
Ganges_Floodplain,Shallow,Wet,30,13.949100000000001,0.5559499999999999,2.8103949999999998,4.031119305555555,3.146841302083333,12.930930833333337,12.407824666666668,2.7123250000000008,100.0,1.3909826095532396,0.0005243412500000001,0.000207050375,0.0017022796093749998,0.0005230912500000001,73.33333333333333,1.005013788915106
Ganges_Floodplain,Intermediate,Dry,37,4.4356,0.78158,3.90689,4.786469444444444,3.091040694444444,7.724465,7.447381497747748,0.8624777777777779,91.8918918918919,3.7954371614082727,0.00017590625,0.00011995875000000002,0.000991975,0.000166335,67.56756756756756,1.0618751179022827
Ganges_Floodplain,Intermediate,Wet,40,14.226849999999999,0.5522,2.53941,4.649763888888888,4.140586944444444,6.417450333333333,7.417630874305556,2.7663319444444445,92.5,1.4803276382195452,0.0005347568749999999,0.00031935512500000005,0.0008408662499999999,0.000533506875,80.0,1.002498582054684
Ganges_Floodplain,Medium_Deep,Dry,31,2.9532,0.62914,2.81262,3.023038333333333,2.3534856944444447,3.616476666666667,5.767527741935484,0.5742333333333334,96.7741935483871,4.098483243358294,0.00012737,3.295e-05,0.000340825,0.00011074499999999998,54.83870967741935,1.0816008838003415
Ganges_Floodplain,Medium_Deep,Wet,31,9.26032,0.5447,2.09791,3.793591944444445,2.802277333333334,6.273796944444444,5.939134471326165,1.800617777777778,96.7741935483871,1.75087477672763,0.000348362,0.00019572762500000003,0.00044588749999999996,0.000347262,90.32258064516128,1.0047998095435573
Ganges_Floodplain,Deep,Dry,14,10.1645,0.2566,2.67919,3.56147,2.266307569444445,5.798493333333333,4.981478105158731,1.9764305555555555,100.0,1.8478705685897818,0.00039991875,0.00016805239062500003,0.000672575,0.00038116875,78.57142857142857,1.0285777157946696
Ganges_Floodplain,Deep,Wet,14,10.97315,0.3014,3.3053850000000002,7.215504583333333,4.184288586805556,8.96808263888889,9.064857460317459,2.1336680555555554,100.0,2.8687774454843744,0.00043469674999999997,0.0002682685625,0.0010866124531249978,0.00041149312499999996,100.0,1.0047004374294932
GBM_Delta,Shallow,Dry,25,12.426,0.21023,2.97427,4.534313194444445,1.3902606944444447,8.863735555555554,11.751804372222223,2.4161666666666672,84.0,1.4813410368519675,0.0004716000000000001,0.00010655625000000002,0.0019214375000000002,0.0004659750000000001,72.0,1.0342864979770967
GBM_Delta,Shallow,Wet,23,24.5546,0.0894,4.6,9.012155277777778,6.46528,12.832200333333335,13.39228049758454,4.774505555555556,91.30434782608695,1.6183466835520535,0.0009220475,0.00041643375000000005,0.0022115612499999998,0.0009207975000000001,86.95652173913044,1.0142349529861652
GBM_Delta,Intermediate,Dry,70,12.187750000000001,0.289755,4.28583,5.364153680555555,3.2887713888888888,9.50798611111111,14.710794654761905,2.3698402777777776,91.42857142857143,1.449829201402489,0.00053137875,0.00023169,0.0013141648437499996,0.0004570406249999999,78.57142857142857,1.0253722758085653
GBM_Delta,Intermediate,Wet,67,13.2631,0.0833,4.65966,7.361354444444444,4.575231444444445,9.387203611111111,11.769125841625208,2.578936111111111,98.50746268656717,1.4307443799659367,0.000542735,0.0003720062499999999,0.000762675,0.0004973662499999999,94.02985074626866,1.012798167421941
GBM_Delta,Medium_Deep,Dry,102,3.42075,0.25886,2.659815,2.5203781944444446,1.8229231944444448,3.251150555555556,7.240026561819172,0.6651458333333335,78.43137254901961,2.7755282724187795,0.00017832000000000004,0.00011002875000000001,0.0002952575,0.000128278125,62.745098039215684,1.1587254261411566
GBM_Delta,Medium_Deep,Wet,104,8.317695,0.0871,3.735175,5.0610097777777785,4.014000222222221,7.492597384722217,7.664705969017094,1.6173295833333334,87.5,1.6355591053817702,0.0003356131875,0.00022552243750000001,0.0006510012500000001,0.0003119135625,75.96153846153845,1.0148518878129464
GBM_Delta,Deep,Dry,68,3.48725,0.213225,1.54091,1.9498639583333335,1.4954693055555557,3.087583958333334,4.662679897875817,0.678076388888889,75.0,2.167495494985279,0.00020594000000000005,0.00011842334375,0.00030908117187499997,0.000130771875,69.11764705882352,1.082743051680449
GBM_Delta,Deep,Wet,64,4.921105,0.0523,2.55218,3.0937609444444445,2.102722888888889,4.172751387499996,5.9930691358506945,0.9568815277777778,85.9375,1.7477595672797916,0.0002082215625,0.0001658360625,0.00032725518750000005,0.0001845414375,82.8125,1.0317512348595137
Meghna_Floodplain,Shallow,Dry,19,22.421,0.56043,5.14651,9.216438472222222,4.460872361111111,28.784151805555556,19.347888238304098,4.359638888888889,94.73684210526315,1.6561396218766122,0.0008529124999999999,0.0002496675,0.00531625,0.0008407874999999999,89.47368421052632,1.014421004118163
Meghna_Floodplain,Shallow,Wet,21,15.128,0.6193,4.14119,5.612102777777778,3.8951883888888896,12.643397722222224,10.112525873015876,2.9415555555555564,100.0,1.5289038995327016,0.00056855,0.00016751074999999999,0.0015887862500000003,0.0005673000000000001,80.95238095238095,1.0116121461115024
Meghna_Floodplain,Intermediate,Dry,41,7.7431,0.26086,2.02999,3.5206945833333334,2.367416388888889,5.181724444444444,9.887950267615176,1.5056027777777778,82.92682926829268,1.9357553891121662,0.00033486625,0.00013778625,0.0008608124999999998,0.00029036625,70.73170731707317,1.0722726828791875
Meghna_Floodplain,Intermediate,Wet,42,39.45275,0.71635,2.36669,10.154319611111113,5.548865000000001,15.03988966666667,16.14891123148148,7.671368055555558,100.0,1.3241841113917585,0.001482303125,0.000525929375,0.001875974375,0.0014794781250000002,97.61904761904762,1.002819441974763
Meghna_Floodplain,Medium_Deep,Dry,48,2.7743,0.29354,3.8668250000000004,2.240915625,1.7209731666666668,3.298970416666667,4.554580095486112,0.5394472222222222,77.08333333333334,3.7327555559375174,0.00013909187500000001,0.00010090374999999999,0.00017547754687499998,0.00010403625,66.66666666666666,1.2678446795234453
Meghna_Floodplain,Medium_Deep,Wet,48,7.9528550000000005,0.5597,3.4766649999999997,3.809383333333333,3.0416191666666665,4.8812835,6.65935427662037,1.5463884722222225,95.83333333333334,1.9368790422170719,0.000317778,0.0002398570625,0.000390783125,0.0002982320625,89.58333333333334,1.0092175913377637
Meghna_Floodplain,Deep,Dry,35,2.3027,0.27829,3.66245,1.5491005555555555,1.1502243055555557,2.960539861111111,4.01005892063492,0.44774722222222235,80.0,2.9208196258598753,0.00010385375000000001,8.363125e-05,0.00017587750000000002,8.635125000000002e-05,51.42857142857142,1.1362596720035039
Meghna_Floodplain,Deep,Wet,35,6.9312,0.0924,3.23623,3.0658944999999997,2.300786111111112,3.701409722222222,4.36539903968254,1.3477333333333334,94.28571428571428,1.9420162288710066,0.00028379375000000005,0.00018545390937500003,0.000354201875,0.00025991999999999996,97.14285714285714,1.0282896204294583
Eastern_Hills,Shallow,Dry,3,2.5428,0.34826,0.05361,1.4738180555555558,0.8896766666666668,3.057831388888889,1.807108703703704,0.4944333333333334,66.66666666666666,2.980822602755118,9.973000000000001e-05,9.106000000000001e-05,0.0001531125,9.535500000000001e-05,33.33333333333333,1.045945325063175
Eastern_Hills,Shallow,Wet,3,3.86738,0.0924,0.0617,1.0500844444444446,0.34880666666666665,3.2143577222222226,1.537749611111111,0.7519905555555556,66.66666666666666,1.5653586284485252,0.00014627675,1.25e-06,0.000360652375,0.00014502675,66.66666666666666,1.0088033125521514
