PO4_mg_L,As_aq_ug_L,As_sorbed_umol_L,P_sorbed_umol_L,pH_eq
0.01,5144.777109671122,665.2025591371262,4.9368237529930195,7.023879924715581
0.011937766417144363,5025.000000000008,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.014251026703029978,5025.000000000007,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.017012542798525893,5025.000000000003,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.020309176209047358,5025.0,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.024244620170823284,5025.000000000003,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.028942661247167517,5025.000000000011,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.0345510729459222,5024.999999999997,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.04124626382901352,5024.999999999998,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.04923882631706739,5025.000000000003,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.05878016072274912,5024.999999999996,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.07017038286703829,5025.000000000006,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.0837677640068292,5025.000000000004,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.1,5024.999999999998,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.1193776641714437,5025.000000000011,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.14251026703029984,5025.0000000000055,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.17012542798525893,5024.999999999999,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.20309176209047358,5024.999999999993,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.24244620170823283,5025.000000000009,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.28942661247167517,5024.999999999998,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.345510729459222,5024.999999999993,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.41246263829013524,5025.000000000009,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.49238826317067413,5025.000000000004,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.5878016072274915,5025.000000000007,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.701703828670383,5025.000000000001,4.0000000000000005e-93,4.0000000000000005e-93,7.0
0.837677640068292,5024.99999999999,4.0000000000000005e-93,4.0000000000000005e-93,7.0
1.0,5025.000000000004,4.0000000000000005e-93,4.0000000000000005e-93,7.0
1.1937766417144369,5025.000000000007,4.0000000000000005e-93,4.0000000000000005e-93,7.0
1.4251026703029992,5024.999999999991,4.0000000000000005e-93,4.0000000000000005e-93,7.0
1.7012542798525891,5025.0000000000055,4.0000000000000005e-93,4.0000000000000005e-93,7.0
2.030917620904737,5025.000000000009,4.0000000000000005e-93,4.0000000000000005e-93,7.0
2.424462017082328,5024.9999999999945,4.0000000000000005e-93,4.0000000000000005e-93,7.0
2.8942661247167516,5024.999999999997,4.0000000000000005e-93,4.0000000000000005e-93,7.0
3.4551072945922217,5024.999999999996,4.0000000000000005e-93,4.0000000000000005e-93,7.0
4.1246263829013525,5025.000000000015,4.0000000000000005e-93,4.0000000000000005e-93,7.0
4.923882631706742,5024.999999999993,4.0000000000000005e-93,4.0000000000000005e-93,7.0
5.878016072274912,5024.9999999999945,4.0000000000000005e-93,4.0000000000000005e-93,7.0
7.01703828670383,5025.000000000007,4.0000000000000005e-93,4.0000000000000005e-93,7.0
8.376776400682925,5024.9999999999945,4.0000000000000005e-93,4.0000000000000005e-93,7.0
10.0,5024.999999999993,4.0000000000000005e-93,4.0000000000000005e-93,7.0
