phys_zone,DALY_as_only,DALY_dose_add,DALY_resp_add,DALY_contam_specific
Barind_Tract,13665.792516444579,64048.7272953676,53361.096183095695,23092.26984715052
Northern_Terrace,21463.960276885668,82720.72214845353,60686.49176920755,43868.24166425407
Brahmaputra_Floodplain,56534.8532268009,214961.22276501628,149198.92765867486,106145.52344377138
Ganges_Floodplain,112967.4560777904,161648.04666537518,161736.50010122306,115200.26713081308
GBM_Delta,98564.2958319715,141524.19083412952,138030.64855892706,118302.07893152144
Meghna_Floodplain,152825.96701987323,234576.16941426657,242834.71882948733,182467.2712348543
Eastern_Hills,6295.3466738437455,42404.56753665392,25564.049066278127,16367.508581625867
NATIONAL,462317.67162361,941883.6466592626,831412.4321668937,605443.1608339907
