ssp,median,mean,p5,p95,std,n_models
ssp245,2047.5204194260486,2021.675805739514,1923.8480242825608,2113.219889624724,86.37369017072616,5
ssp585,2020.990894039735,2012.9236846946285,1921.4027041942604,2086.277800772627,75.69612368527395,6
