pair,tau,p_value,tau_CI_lo,tau_CI_hi
As-Mn2+,0.03100837476794512,0.057977886797461756,-0.0023476315393082176,0.06174324088992738
As-Fe2+,0.19736372870275928,1.426554037685586e-33,0.16473403342575824,0.22749827048366103
As-Cr3+,0.011438510589370463,0.49344092268015893,-0.021429874851786462,0.041531690142528964
Mn2+-Fe2+,0.15028037241619377,3.4696356019182494e-20,0.12000749119538055,0.17825001874288346
Mn2+-Cr3+,0.0942850525533943,1.600672877902197e-08,0.060313092960762885,0.12948643577033053
Fe2+-Cr3+,0.07626490494795084,4.792828885612513e-06,0.04726344429351684,0.10860112579845013
