depth_zone,phys_zone,contaminant,ssp,n_models,baseline_dry,ensemble_median,ensemble_p5,ensemble_p95,ensemble_std,pct_change_median,pct_change_p5,pct_change_p95
Deep,Brahmaputra_Floodplain,As,ssp245,5,0.47725,1.6057982869431897,1.0617857613328017,1.8947983881588069,0.33983068853936543,236.46899674032264,122.4799918979155,297.02428248482073
Deep,Brahmaputra_Floodplain,As,ssp585,6,0.47725,2.044252301277643,1.5807070307478712,2.3481381022999166,0.3216379853676305,328.33992693088385,231.2115308010207,392.0142697328269
Deep,Brahmaputra_Floodplain,Mn2+,ssp245,5,0.22784,0.1979559861314869,0.1834371296370922,0.22528621804928675,0.017072495748412454,-13.116227997065081,-19.48861936574254,-1.1208663758397277
Deep,Brahmaputra_Floodplain,Mn2+,ssp585,6,0.22784,0.19242868406502983,0.1771619962086307,0.21571638269616597,0.01615852635710601,-15.542185715840132,-22.24280363034115,-5.321110122820408
Deep,Brahmaputra_Floodplain,Fe2+,ssp245,5,1.344715,1.4605317623634186,1.4549570071105278,1.4634932839396546,0.0034824067955103186,8.612736703570535,8.19816891389831,8.83297084807223
Deep,Brahmaputra_Floodplain,Fe2+,ssp585,6,1.344715,1.5291798806841521,1.5244297116895338,1.5322939431106137,0.003295977507954575,13.717767756301669,13.364520488693415,13.949345631647867
Deep,Brahmaputra_Floodplain,Cr3+,ssp245,5,0.0034,0.002458057530839547,0.002166879661811826,0.003006169477047616,0.00034239149157006693,-27.70419026942509,-36.26824524082865,-11.583250675070108
Deep,Brahmaputra_Floodplain,Cr3+,ssp585,6,0.0034,0.002136367241213935,0.0018301915007998136,0.002603405569238726,0.0003240616968083431,-37.165669376060734,-46.17083821177019,-23.429247963566876
Deep,Brahmaputra_Floodplain,NO3-,ssp245,5,1.75,1.6398869855915732,1.5792249295441316,1.7540769743849207,0.07133156074376365,-6.292172251910102,-9.75857545462105,0.23296996485261243
Deep,Brahmaputra_Floodplain,NO3-,ssp585,6,1.75,1.6258681752529045,1.5620815626666293,1.7231678269247355,0.06751285350173786,-7.093247128405458,-10.738196419049753,-1.5332670328722589
Deep,Eastern_Hills,As,ssp245,5,0.10005,0.9576334489792502,0.5268243106590359,1.1864956143116752,0.26911543248042735,857.1548715434784,426.56103014396393,1085.9026629801851
Deep,Eastern_Hills,As,ssp585,6,0.10005,1.2826185754963602,0.9155322876479755,1.5232688802651038,0.2547084429201471,1181.9775867030087,815.074750272839,1422.5076264518777
Deep,Eastern_Hills,Mn2+,ssp245,5,0.226445,0.21095804754745884,0.20037979821390606,0.2308704977932426,0.012438797562497408,-6.839167326521305,-11.51061042906399,1.954336723373262
Deep,Eastern_Hills,Mn2+,ssp585,6,0.226445,0.2107993274006019,0.19967621789780735,0.22776644065913565,0.011772891393632962,-6.909259466712938,-11.82131736280009,0.5835592126722348
Deep,Eastern_Hills,Fe2+,ssp245,5,5.62028,4.397461716650677,3.9473122569244707,5.2448210893904825,0.529323692970782,-21.757248452912005,-29.766626272632845,-6.680430701130861
Deep,Eastern_Hills,Fe2+,ssp585,6,5.62028,4.0437643324634465,3.5704287572396067,4.765787100655955,0.5009865558235329,-28.050482672332226,-36.47240427096859,-15.20374250649514
Deep,Eastern_Hills,Cr3+,ssp245,5,0.0066,0.006073879449570503,0.005861562253404456,0.00647354441034722,0.00024966046260317383,-7.971523491356012,-11.18845070599309,-1.9159937826178768
Deep,Eastern_Hills,Cr3+,ssp585,6,0.0066,0.005938213613385162,0.005714960469333198,0.006278762394236572,0.00023629498725608348,-10.027066463861187,-13.409689858587909,-4.867236450961036
Deep,Eastern_Hills,NO3-,ssp245,5,1.6,1.7040000000000002,1.7040000000000002,1.7040000000000002,0.0,6.500000000000005,6.500000000000005,6.500000000000005
Deep,Eastern_Hills,NO3-,ssp585,6,1.6,1.7680000000000002,1.7680000000000002,1.7680000000000002,2.220446049250313e-16,10.500000000000009,10.500000000000009,10.500000000000009
Deep,GBM_Delta,As,ssp245,5,3.5416,4.973056358969292,4.477735586480276,5.23618955286572,0.30941419772261736,40.4183521281142,26.432561172359275,47.84813510463407
Deep,GBM_Delta,As,ssp585,6,3.5416,5.620831912387233,5.198776186326848,5.897518463936594,0.29284982950595423,58.708829692433746,46.791737811352164,66.5213029121469
Deep,GBM_Delta,Mn2+,ssp245,5,0.2213999999999999,0.20285871548464393,0.19159498491775517,0.22406151260379228,0.013244844198901796,-8.3745639184083,-13.462066432811538,1.2021285473316996
Deep,GBM_Delta,Mn2+,ssp585,6,0.2213999999999999,0.20142770278096017,0.18958380455594084,0.21949430210338547,0.01253578663820247,-9.020911119710812,-14.370458646819815,-0.8607488241257607
