phys_zone,population,gw_dependent_pop,n_samples,median_HI_multi,median_HI_as_only,median_CR_multi,median_CR_as_only,annual_DALY_multi,annual_DALY_as_only,DALY_ratio,annual_YLL,annual_YLD,annual_cancer_cases,annual_DALY_per_100k
Barind_Tract,13162658,12767778.26,174,2.550813310909384,0.7215614334697651,0.000146673152136,0.0001391582764548,64048.72307833374,13665.791616674793,4.686792018706217,213.4007829390801,63835.32229539467,13.376359165483525,486.59414442230246
Northern_Terrace,17099117,16586143.49,130,2.5347780139619576,0.8282331560053697,0.00016591058619,0.0001597306800867,82720.72024045319,21463.959781807254,3.853935670833993,313.58087483447423,82407.1393656187,19.65583420755252,483.7718827261851
Brahmaputra_Floodplain,50762659,49239779.23,207,2.22673399855993,0.7591051639065031,0.0001511607196333,0.0001463988530391,214961.22248230685,56534.85315244826,3.802277895772652,848.174280920358,214113.04820138647,53.165146164225845,423.4632832813325
Ganges_Floodplain,20954333,20325703.009999998,228,4.362591448677226,2.8125596700121664,0.0005494394211754,0.0005424222220737,161648.0401491941,112967.4515239686,1.4309257929475094,1272.6103263842333,160375.42982280988,79.76958926283916,771.4301388127892
GBM_Delta,17545839,17019463.83,523,4.655548540849728,2.9393813138432385,0.0005875614666122,0.0005668806819554,141524.1846866976,98564.29155060243,1.4358565608320715,1139.5391012951177,140384.6455854025,71.42843663505778,806.5968500377645
Meghna_Floodplain,27957851,27119115.47,289,4.952255841412129,2.854279932147718,0.000565870331291,0.0005504682726284,234576.16152830308,152825.9618821817,1.5349235080172121,1748.7289348746858,232827.43259342836,109.61359182376987,839.0350228574546
Eastern_Hills,18486717,17932115.49,122,1.31768741120977,0.3305294178877457,7.550107918922326e-05,6.374495916406525e-05,42404.56544492693,6295.3463633077035,6.735858997700438,154.2818145112632,42250.283630415666,9.670671940291337,229.3785610767284
