target,AUC_base,AUC_full,delta_AUC,delta_AUC_CI_lo,delta_AUC_CI_hi,PO4_perm_rank,conditional_MI,PO4_informative
As > 10 µg/L (WHO),0.6862908850121885,0.7724690868664836,0.08617820185429514,0.05646769179277487,0.1062165399758371,1,0.033909232549760124,True
As > 22 µg/L (saddle),0.7313393587919904,0.789967107998687,0.058627749206696556,0.026029592910730953,0.08384522684021907,1,0.02073484322514495,True
