season,depth_zone,pair,n_samples,kendall_tau,p_value,best_copula,best_param,best_aic,AIC_Clayton,AIC_Frank,AIC_Gumbel,AIC_t-copula
Dry,Shallow,As-Mn2+,180,0.12829111670364138,0.010588101807527242,Clayton,0.27743118337454725,-8.143753273402208,-8.143753273402208,-2.828686898003813,648.65229679214,659.4057096395877
Dry,Shallow,As-Fe2+,180,0.29185297604410193,6.0731783156219475e-09,Frank,2.614036055009007,-34.046322091040835,-30.67941501143882,-34.046322091040835,581.3331682251212,632.0173211005615
Dry,Shallow,As-Cr3+,180,0.09171022653797836,0.0683751919282109,Clayton,0.16305657618996483,-1.1345905416009163,-1.1345905416009163,-0.8565071515197205,658.1083523757083,662.4469114454546
Dry,Shallow,Mn2+-Fe2+,180,0.14612042209807574,0.003587978978757835,Clayton,0.3414981437330264,-10.186109383323716,-10.186109383323716,-6.591149085722325,626.6609421696387,653.6627033163666
Dry,Shallow,Mn2+-Cr3+,180,0.08993340936688864,0.07379811663992566,Clayton,0.20625892200468485,-2.6645730978107283,-2.6645730978107283,-1.6569931928023953,648.0993468114871,662.2147478388544
Dry,Shallow,Fe2+-Cr3+,180,0.034790848329474565,0.48916534514161436,Frank,0.2856529864359371,1.5764629813277473,1.9547122527867082,1.5764629813277473,659.3332370754299,664.775091324809
Dry,Intermediate,As-Mn2+,253,0.08193043651290316,0.05228568662690037,Clayton,0.237398790084061,-8.426898899193109,-8.426898899193109,-2.642490652138263,935.8859952596565,929.2283826428998
Dry,Intermediate,As-Fe2+,253,0.23625210896424662,2.189027639322348e-08,Frank,2.033359057470579,-29.407454310207317,-18.58580389812563,-29.407454310207317,849.6086723037545,902.4755986770699
Dry,Intermediate,As-Cr3+,253,0.13337538806033297,0.0016106574730477099,Clayton,0.19664296637981227,-7.219798564590146,-7.219798564590146,-7.049173145766254,914.6519210539784,926.5466423634557
Dry,Intermediate,Mn2+-Fe2+,253,0.2626262626262626,4.879740539487637e-10,Frank,2.2797788019240044,-35.236114836794954,-32.81160002221152,-35.236114836794954,820.4860676614289,895.0773655428586
Dry,Intermediate,Mn2+-Cr3+,253,0.009427454733504665,0.823536281728384,Clayton,0.035314610998959294,1.6621318714056483,1.6621318714056483,1.83606456748503,953.2169325327354,933.719865087583
Dry,Intermediate,Fe2+-Cr3+,253,0.07328274812844292,0.08301650027967454,Frank,0.67710048088164,-1.2696985851237481,-0.5299609028494965,-1.2696985851237481,930.4821974507545,931.1818143019625
Dry,Medium_Deep,As-Mn2+,230,0.08371156913952552,0.05882753180341881,Clayton,0.20211729069670445,-2.8302717503379977,-2.8302717503379977,-1.7581674350713206,838.1368345597314,846.7390234824331
Dry,Medium_Deep,As-Fe2+,230,0.1800676107373789,4.8148303728560776e-05,Frank,1.6889981406132153,-17.226684674629727,-15.905678375667872,-17.226684674629727,794.6510420919208,830.5510464768603
Dry,Medium_Deep,As-Cr3+,230,0.14241438748185692,0.001328143794449226,Frank,1.3319261574927699,-9.111035109541385,-5.946413762194642,-9.111035109541385,820.7276987936998,841.6781437190944
Dry,Medium_Deep,Mn2+-Fe2+,230,0.3031004956022975,7.760748011618058e-12,Frank,2.790171225726718,-44.20492483800523,-40.838640094877874,-44.20492483800523,737.3202928305923,808.8535003122136
Dry,Medium_Deep,Mn2+-Cr3+,230,0.1836472831877459,3.4729839050158866e-05,Frank,1.6352377362306059,-14.104665228793621,-13.968023627653176,-14.104665228793621,802.2373567226527,834.2710554937041
Dry,Medium_Deep,Fe2+-Cr3+,230,0.19706816172148733,8.886271615964227e-06,Frank,1.7617540947396724,-17.377126340663033,-4.8307747571172435,-17.377126340663033,777.875958458574,830.7085700381709
Dry,Deep,As-Mn2+,173,0.09249176602194992,0.07085544199888126,Frank,0.8277049272565861,-1.3374005811593346,1.362066027445607,-1.3374005811593346,619.7407850174588,636.2532965545857
Dry,Deep,As-Fe2+,173,0.1105061506832018,0.03090985520200089,Frank,0.9913281469758966,-2.8527109591400244,-0.4083851585638807,-2.8527109591400244,611.4776159456521,633.4410374135442
Dry,Deep,As-Cr3+,173,0.1222595285118451,0.017178447277823146,Clayton,0.242223227123975,-5.5842476765679585,-5.5842476765679585,-3.0979612280593365,626.162023373367,636.5021701605468
Dry,Deep,Mn2+-Fe2+,173,0.42008334453555585,2.3070509129166793e-16,Frank,4.4641314015598414,-69.86371394988888,-50.36041262418291,-69.86371394988888,468.6691987805946,572.0472437084791
Dry,Deep,Mn2+-Cr3+,173,0.11942235481341573,0.019926908468124793,Frank,1.2039791484082885,-3.58407673471004,-3.0816014353625434,-3.58407673471004,616.2051010636261,632.9821616999036
Dry,Deep,Fe2+-Cr3+,173,0.14407468524867245,0.004981428360555141,Frank,1.3950836220709635,-5.527127706938716,-1.2104225817628977,-5.527127706938716,610.4185505561849,634.7035962549796
Wet,Shallow,As-Mn2+,183,-0.015999050726256535,0.7518679572374506,Frank,-0.06741607683654717,1.966503055109051,3.1732123496143423,1.966503055109051,1570.0781608296452,676.5843800777884
Wet,Shallow,As-Fe2+,183,0.18864260673090244,0.00018714685159914262,Frank,1.2625264614887135,-9.448932771367783,-5.816573251175988,-9.448932771367783,1505.4412828423556,664.5253068732554
Wet,Shallow,As-Cr3+,183,-0.013995854612750177,0.7942698916716975,Frank,0.017561623188288106,1.9974824829529432,2.5365478735673523,1.9974824829529432,1567.7585041809334,676.6568814616763
Wet,Shallow,Mn2+-Fe2+,183,0.016015932061517874,0.7481565134449104,Frank,-0.1031035709639622,1.9348863459415764,2.38739776708706,1.9348863459415764,678.4488640003153,676.6484610847108
Wet,Shallow,Mn2+-Cr3+,183,0.010900965573186545,0.8370943589906814,Frank,0.09813643560755987,1.9320719703298845,1.9694393423462437,1.9320719703298845,671.5225687292157,676.4051968511487
Wet,Shallow,Fe2+-Cr3+,183,-0.13974161324018608,0.008259510627239725,Frank,-0.7415140596823944,-1.826815740023016,2.5248949038625965,-1.826815740023016,710.4491230535086,671.5568401188906
Wet,Intermediate,As-Mn2+,253,-0.018282546270706846,0.6676858408517362,Frank,-0.04056028345844354,1.9843742159767608,3.210095195225325,1.9843742159767608,1749.7027030740524,933.9648513169524
Wet,Intermediate,As-Fe2+,253,0.13411427086653369,0.0015947478077592732,Frank,1.1103490382259558,-9.35845462214384,-3.902724929638188,-9.35845462214384,1709.3101011104236,924.7511005363219
Wet,Intermediate,As-Cr3+,253,-0.055794243012212,0.22323039999495886,Frank,-0.3124687555875687,1.0303054080072047,2.8095260918862577,1.0303054080072047,1755.964379342583,933.1635257415874
Wet,Intermediate,Mn2+-Fe2+,253,0.15230260306490917,0.0003199372342895874,Frank,1.1988869100340294,-9.627572134706242,-8.85096840002609,-9.627572134706242,910.640882255155,919.5712705635042
Wet,Intermediate,Mn2+-Cr3+,253,0.10062835392007008,0.027449594975621605,Frank,0.5770322575386228,-0.9255904539492743,1.3619349942267949,-0.9255904539492743,907.5125078428127,931.2841711695565
