season,depth_zone,pair,n_samples,kendall_tau,p_value,best_copula,best_param,best_aic,AIC_Clayton,AIC_Frank,AIC_Gumbel,AIC_t-copula
Wet,Intermediate,Fe2+-Cr3+,253,0.03511245775210068,0.4405591387758767,Frank,0.23495450544007068,1.4929712863971512,2.0107889076528123,1.4929712863971512,968.0819068830766,933.4727478579143
Wet,Medium_Deep,As-Mn2+,232,0.029609604536975934,0.5046697415964075,Clayton,0.01625010028929417,1.0222531429355963,1.0222531429355963,1.44801340719507,1393.625790791385,856.1628589379758
Wet,Medium_Deep,As-Fe2+,232,0.21335587482312082,1.4322468461184143e-06,Frank,1.7264409742756075,-21.98066613756382,-15.148136438193916,-21.98066613756382,1319.340307180263,830.7063066403259
Wet,Medium_Deep,As-Cr3+,232,-0.06688255048904797,0.15233303341263563,Frank,-0.542504435860504,-0.6668068540211634,3.4847179176630148,-0.6668068540211634,1422.4866002471108,855.095008522417
Wet,Medium_Deep,Mn2+-Fe2+,232,0.11633959378686806,0.008529404997085814,Frank,0.8104875928507075,-3.030553873188084,1.6063676128502933,-3.030553873188084,851.9834900414908,852.6285899282685
Wet,Medium_Deep,Mn2+-Cr3+,232,0.07115175444449431,0.1275659741301556,Frank,0.3728110598721459,0.8275540423100312,2.2068066154836647,0.8275540423100312,847.1882060058995,856.2626664860948
Wet,Medium_Deep,Fe2+-Cr3+,232,0.11983142704362479,0.01007283049999842,Frank,0.9063392347839239,-5.03418712947882,-1.2873364749310188,-5.03418712947882,841.0602821858565,849.6384143410462
Wet,Deep,As-Mn2+,169,0.044148427550017084,0.39684840755627315,Frank,0.5745806663236921,0.40457337238009794,1.5172156688201688,0.40457337238009794,924.026925471086,623.7054401187934
Wet,Deep,As-Fe2+,169,0.12421906572402236,0.01676105853956469,Frank,1.0555243617375691,-3.1383213955845948,-2.252329226943269,-3.1383213955845948,911.0580959814054,619.6260159771716
Wet,Deep,As-Cr3+,169,0.028727393522391412,0.6052201187621198,Clayton,0.016292956671007254,1.4331999365002204,1.4331999365002204,1.8181717634202688,930.658120205743,624.8642636227898
Wet,Deep,Mn2+-Fe2+,169,0.11610874391053527,0.025572162538580228,Frank,0.9969341375375462,-2.9807020999700136,-0.3450834236670226,-2.9807020999700136,611.2754054670318,619.2022866137632
Wet,Deep,Mn2+-Cr3+,169,-0.006631948883593098,0.9051431241672866,Frank,0.06526672946922812,1.9749155155207312,1.9992200679638916,1.9749155155207312,619.1832708326738,624.8595582771375
Wet,Deep,Fe2+-Cr3+,169,0.11856404335396062,0.032549672772710675,Frank,0.9080298252967035,-2.916289138628027,-0.26184383874143835,-2.916289138628027,615.7645624781137,619.5073289303191
