phys_zone,scenario,baseline_daly,intervention_daly,dalys_averted,pct_reduction,baseline_hi_exceed_pct,intervention_hi_exceed_pct
Barind_Tract,S1_deepen_wells,2763906.9609266818,2763906.9609266818,0.0,0.0,80.45977011494253,80.45977011494253
Barind_Tract,S2_po4_removal,2763906.9609266818,1912607.904630824,851299.0562958578,30.800568482610373,80.45977011494253,77.01149425287356
Barind_Tract,S3_multi_treatment,2763906.9609266818,728884.0019674771,2035022.9589592046,73.62848995021535,80.45977011494253,45.97701149425287
Barind_Tract,S4_seasonal_switch,2763906.9609266818,1747639.3436567949,1016267.6172698869,36.7692412095215,80.45977011494253,63.793103448275865
Barind_Tract,S5_fertilizer_policy,2763906.9609266818,2521721.1786134383,242185.7823132435,8.76244337226328,80.45977011494253,79.88505747126436
Northern_Terrace,S1_deepen_wells,2952685.3610152835,1528502.3440487988,1424183.0169664847,48.23348385744623,78.46153846153847,94.61538461538461
Northern_Terrace,S2_po4_removal,2952685.3610152835,2095765.491328708,856919.8696865756,29.02171294647944,78.46153846153847,65.38461538461539
Northern_Terrace,S3_multi_treatment,2952685.3610152835,3609.341100595266,2949076.019914688,99.87776072763288,78.46153846153847,27.692307692307693
Northern_Terrace,S4_seasonal_switch,2952685.3610152835,1751962.1881922816,1200723.1728230019,40.66546299434126,78.46153846153847,55.38461538461539
Northern_Terrace,S5_fertilizer_policy,2952685.3610152835,2707057.5465703662,245627.81444491725,8.318794060754849,78.46153846153847,76.15384615384615
Brahmaputra_Floodplain,S1_deepen_wells,6553492.554471193,3006177.196099972,3547315.358371221,54.1286242242089,76.32850241545893,87.43961352657004
Brahmaputra_Floodplain,S2_po4_removal,6553492.554471193,4526600.822940567,2026891.7315306263,30.928420451897164,76.32850241545893,70.04830917874396
Brahmaputra_Floodplain,S3_multi_treatment,6553492.554471193,1920233.8831133805,4633258.671357812,70.69907584157886,76.32850241545893,33.81642512077295
Brahmaputra_Floodplain,S4_seasonal_switch,6553492.554471193,3794955.9617423494,2758536.5927288434,42.09261809333714,76.32850241545893,55.55555555555556
Brahmaputra_Floodplain,S5_fertilizer_policy,6553492.554471193,5952342.558866037,601149.9956051558,9.172971367687213,76.32850241545893,76.32850241545893
Ganges_Floodplain,S1_deepen_wells,11681898.739844171,6010521.926567596,5671376.813276575,48.54841614003091,96.49122807017544,99.12280701754386
Ganges_Floodplain,S2_po4_removal,11681898.739844171,6277531.844918686,5404366.894925485,46.26274388505422,96.49122807017544,93.42105263157895
Ganges_Floodplain,S3_multi_treatment,11681898.739844171,2508514.333271116,9173384.406573055,78.52648452845108,96.49122807017544,59.210526315789465
Ganges_Floodplain,S4_seasonal_switch,11681898.739844171,7430325.69009619,4251573.049747981,36.39453777532653,96.49122807017544,82.89473684210526
Ganges_Floodplain,S5_fertilizer_policy,11681898.739844171,9950425.103350779,1731473.6364933923,14.821851096754918,96.49122807017544,95.6140350877193
GBM_Delta,S1_deepen_wells,14480179.667058231,8053920.319943885,6426259.347114346,44.37969344906543,85.8508604206501,88.33652007648183
GBM_Delta,S2_po4_removal,14480179.667058231,7678430.415514829,6801749.251543403,46.972823597051644,85.8508604206501,75.90822179732314
GBM_Delta,S3_multi_treatment,14480179.667058231,3143612.865127265,11336566.801930966,78.29023577463721,85.8508604206501,53.53728489483748
GBM_Delta,S4_seasonal_switch,14480179.667058231,9251779.60342252,5228400.063635711,36.107287228832455,85.8508604206501,73.9961759082218
GBM_Delta,S5_fertilizer_policy,14480179.667058231,12286994.763144018,2193184.903914213,15.146116652845212,85.8508604206501,83.36520076481835
Meghna_Floodplain,S1_deepen_wells,22312181.331696887,9749653.315241309,12562528.016455578,56.303450701205705,89.61937716262976,92.38754325259517
Meghna_Floodplain,S2_po4_removal,22312181.331696887,12499232.101723816,9812949.22997307,43.9802325200392,89.61937716262976,81.31487889273356
Meghna_Floodplain,S3_multi_treatment,22312181.331696887,4827068.972460818,17485112.35923607,78.36576845311203,89.61937716262976,46.71280276816609
Meghna_Floodplain,S4_seasonal_switch,22312181.331696887,13010862.35334298,9301318.978353906,41.68717903498018,89.61937716262976,66.08996539792388
Meghna_Floodplain,S5_fertilizer_policy,22312181.331696887,19209616.403967682,3102564.9277292043,13.905251492921817,89.61937716262976,88.58131487889274
Eastern_Hills,S1_deepen_wells,2692679.0233892766,1790705.054294617,901973.9690946597,33.49727023755488,56.557377049180324,44.26229508196721
Eastern_Hills,S2_po4_removal,2692679.0233892766,2000012.5258324735,692666.497556803,25.72406482689286,56.557377049180324,45.90163934426229
Eastern_Hills,S3_multi_treatment,2692679.0233892766,3870.344542165389,2688808.6788471113,99.85626417004974,56.557377049180324,13.934426229508196
Eastern_Hills,S4_seasonal_switch,2692679.0233892766,1517180.0234579493,1175498.9999313273,43.655370347548,56.557377049180324,33.60655737704918
Eastern_Hills,S5_fertilizer_policy,2692679.0233892766,2498307.9082471607,194371.11514211586,7.218502965030746,56.557377049180324,53.278688524590166
