product,level,test,spearman_rho,p_value,n
GRACEDADM,well,As vs storage mean,0.011748840101515586,0.6177082385656685,1807
GRACEDADM,well,As vs storage trend,0.0984971941957204,2.7370969313126693e-05,1807
GRACEDADM,cell,cell-median As vs storage mean,0.0349295524245522,0.6713115185932784,150
GRACEDADM,cell,cell-median As vs storage trend,0.17304413529490198,0.034207079492006257,150
TELLUS,well,As vs LWE trend,0.1736302096261598,1.0678402192897292e-13,1807
TELLUS,mascon,mascon-median As vs LWE trend,0.3714285714285715,0.46847813411078715,6
