ID_norm,Depth_bin,As,B,Br,CO3,Ca,Cl,Depth,EC,Eh,Fe,HCO3,I,K,Mg,Mn,NO3,Na,PO4,SO4,Salinity,TDS,Temperature,pH,District,Upazila,Latitude,Longitude,Period,pair_key,CBE,CBE_flag
BHBHLW-2,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BHBHLW-2_Deep (>150m),,NO_DATA
BHBHLW-2,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BHBHLW-2_Deep (>150m),,NO_DATA
BHBHLW-2,Medium (50–150m),7.5,,0.86,12.0,60.31,1970.0,98.0,5690.0,-4.1,3.3,225.7,1.28,13.32,96.21,0.1,11.8,1302.1,0.44,0.0,3.3,3243.3,27.8,7.1,Bhola,Bhola Sadar,22.7203,90.572,2012-2013,BHBHLW-2_Medium (50–150m),6.3778629775490785,PASS
BHBHLW-2,Medium (50–150m),2.586725,0.4,0.36,18.0,53.60235,80.25,98.0,1462.5,30.049999999999997,0.998895,171.3,0.17081000000000002,9.02195,9.91967,0.12412999999999999,2.75,25.902699999999996,0.46499999999999997,2.0275,1.1800000000000002,941.0,26.35,7.994999999999999,Bhola,Bhola Sadar,22.720155,90.572015,2020-2021,BHBHLW-2_Medium (50–150m),-8.284666505835187,PASS
BHBHLW-2,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BHBHLW-2_Shallow (<50m),,NO_DATA
BHBHLW-2,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BHBHLW-2_Shallow (<50m),,NO_DATA
BHBHLW-3,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BHBHLW-3_Deep (>150m),,NO_DATA
BHBHLW-3,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BHBHLW-3_Deep (>150m),,NO_DATA
BHBHLW-3,Medium (50–150m),0.0,,0.77,48.0,64.22,1580.0,98.0,3970.0,-38.5,1.1,237.9,1.22,16.27,92.84,0.0,10.2,970.3,2.63,0.0,2.3,2262.9,28.5,7.5,Bhola,Bhola Sadar,22.7261,90.569,2012-2013,BHBHLW-3_Medium (50–150m),3.0754594530523005,PASS
BHBHLW-3,Medium (50–150m),4.969825,0.3,0.265,18.0,69.44839999999999,137.35,98.0,1209.5,30.95,3.01861,222.65,0.140685,13.517,13.546600000000002,0.43177,0.75,54.5287,0.675,1.6005,0.58,773.0,26.65,8.05,Bhola,Bhola Sadar,22.726619999999997,90.573295,2020-2021,BHBHLW-3_Medium (50–150m),-4.919486660528974,PASS
BHBHLW-3,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BHBHLW-3_Shallow (<50m),,NO_DATA
BHBHLW-3,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BHBHLW-3_Shallow (<50m),,NO_DATA
BHBHLW-4,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BHBHLW-4_Deep (>150m),,NO_DATA
BHBHLW-4,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BHBHLW-4_Deep (>150m),,NO_DATA
BHBHLW-4,Medium (50–150m),7.5,,1.13,18.0,90.45,1950.0,98.0,5220.0,2.6,7.25,201.3,0.21,24.56,108.66,0.0,10.3,1355.4,1.1,0.0,3.1,2923.2,29.0,7.0,Bhola,Bhola Sadar,22.0,90.58,2012-2013,BHBHLW-4_Medium (50–150m),10.722481687484168,FAIL
BHBHLW-4,Medium (50–150m),3.48666,0.2,0.445,15.0,47.55435,1535.25,98.0,3113.5,51.300000000000004,9.545985,256.2,0.339385,25.2025,48.7187,0.49712500000000004,1.3,905.0699999999999,3.485,9.9475,2.325,5644.5,26.34,8.09,Bhola,Bhola Sadar,22.73326,90.58069,2020-2021,BHBHLW-4_Medium (50–150m),-1.6679447833469914,PASS
BHBHLW-4,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BHBHLW-4_Shallow (<50m),,NO_DATA
BHBHLW-4,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BHBHLW-4_Shallow (<50m),,NO_DATA
BHBHLW-5,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BHBHLW-5_Deep (>150m),,NO_DATA
BHBHLW-5,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BHBHLW-5_Deep (>150m),,NO_DATA
BHBHLW-5,Medium (50–150m),7.5,,0.18,24.0,131.42,2070.0,98.0,5760.0,-16.8,3.5,201.3,0.27,17.06,7.11,0.0,9.6,973.6,3.5,0.0,3.3,3283.2,26.9,7.3,Bhola,Bhola Sadar,22.7305,90.577,2012-2013,BHBHLW-5_Medium (50–150m),-11.25629523366852,FAIL
BHBHLW-5,Medium (50–150m),37.27776,0.5,0.545,3.0,405.9458,1817.15,98.0,9648.5,51.5,3.97713,80.4,0.629985,25.4729,83.96442499999999,5.420255,3.75,671.5324499999999,1.045,2.1385,5.6899999999999995,6235.5,26.65,8.01,Bhola,Bhola Sadar,22.73351,90.58149499999999,2020-2021,BHBHLW-5_Medium (50–150m),4.136186178018403,PASS
BHBHLW-5,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BHBHLW-5_Shallow (<50m),,NO_DATA
BHBHLW-5,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BHBHLW-5_Shallow (<50m),,NO_DATA
BHLMPZ-1,Deep (>150m),6.25,0.6000000000000001,0.97,0.0,177.1,5987.5,179.0,16100.0,-8.649999999999999,21.47,222.65,1.435,2.535,35.995,0.1975,9.319700000000001,2023.25,0.15845,32.12,9.2,8686.5,28.35,7.015,Bhola,Lalmohan,22.34398,90.73842,2012-2013,BHLMPZ-1_Deep (>150m),-26.53686255832493,FAIL
BHLMPZ-1,Deep (>150m),2.866555,0.35,0.21500000000000002,0.0,260.7975,2336.7,180.0,24283.0,26.25,2.3598,265.35,0.421495,21.549300000000002,40.862449999999995,0.458665,1.9,1106.27765,2.87,2.104,15.700000000000001,15778.5,27.1,8.08,Bhola,Lalmohan,22.343989999999998,90.73841,2020-2021,BHLMPZ-1_Deep (>150m),-3.890451993699017,PASS
BHLMPZ-1,Medium (50–150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BHLMPZ-1_Medium (50–150m),,NO_DATA
BHLMPZ-1,Medium (50–150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BHLMPZ-1_Medium (50–150m),,NO_DATA
BHLMPZ-1,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BHLMPZ-1_Shallow (<50m),,NO_DATA
BHLMPZ-1,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BHLMPZ-1_Shallow (<50m),,NO_DATA
BHLMPZ-2,Deep (>150m),0.0,0.30000000000000004,0.295,2.25,41.46,173.75,300.0,652.5,-62.85,2.148,347.70000000000005,0.515,4.984999999999999,17.634999999999998,0.050925,1.0438,464.25,0.7538499999999999,13.78,0.32,351.85,28.049999999999997,8.07,Bhola,Lalmohan,22.34398,90.73836,2012-2013,BHLMPZ-2_Deep (>150m),36.991677876779576,FAIL
BHLMPZ-2,Deep (>150m),55.755,0.45,0.125,18.0,20.14985,2971.6,302.0,11586.5,-133.35,1.8694700000000002,218.4,0.09160499999999999,19.708,35.35125,0.67928,1.0,1542.42,3.28,2.802,6.5,7544.5,26.490000000000002,8.185,Bhola,Lalmohan,22.343989999999998,90.73838,2020-2021,BHLMPZ-2_Deep (>150m),-10.373348630638649,FAIL
BHLMPZ-2,Medium (50–150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BHLMPZ-2_Medium (50–150m),,NO_DATA
BHLMPZ-2,Medium (50–150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BHLMPZ-2_Medium (50–150m),,NO_DATA
BHLMPZ-2,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BHLMPZ-2_Shallow (<50m),,NO_DATA
BHLMPZ-2,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BHLMPZ-2_Shallow (<50m),,NO_DATA
BNAMLW-1,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BNAMLW-1_Deep (>150m),,NO_DATA
BNAMLW-1,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BNAMLW-1_Deep (>150m),,NO_DATA
BNAMLW-1,Medium (50–150m),,,0.2494,18.0,17.18,97.5,98.0,1000.0,-45.2,1.665,512.4000000000001,0.3911,2.7960000000000003,7.16,0.22065,0.70505,502.34999999999997,3.059,5.9005,0.5,577.0,27.5,7.9,Barguna,Amtoli,22.1335,90.22451,2012-2013,BNAMLW-1_Medium (50–150m),32.35334617428872,FAIL
BNAMLW-1,Medium (50–150m),16.516000000000002,1.4,0.33999999999999997,6.0,45.55425,400.15,98.0,1496.5,-69.14999999999999,1.7968,420.54999999999995,0.089875,8.6253,24.2199,0.08777,3.3,254.67899999999997,2.555,24.0,0.7150000000000001,927.0,27.8,8.26,Barguna,Amtoli,22.1335,90.2245,2020-2021,BNAMLW-1_Medium (50–150m),-9.757436849161822,PASS
BNAMLW-1,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BNAMLW-1_Shallow (<50m),,NO_DATA
BNAMLW-1,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BNAMLW-1_Shallow (<50m),,NO_DATA
BNAMLW-2,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BNAMLW-2_Deep (>150m),,NO_DATA
BNAMLW-2,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BNAMLW-2_Deep (>150m),,NO_DATA
BNAMLW-2,Medium (50–150m),20.0,,0.11,21.0,10.0,300.0,119.0,1806.5,-28.700000000000003,2.155,466.4,0.4,6.1375,10.0,0.2,0.5,408.79999999999995,0.56,0.0,0.925,964.71,28.15,7.4399999999999995,Barguna,Amtoli,22.13202,90.22833,2012-2013,BNAMLW-2_Medium (50–150m),6.948347788876817,PASS
BNAMLW-2,Medium (50–150m),14.809,1.65,0.8714999999999999,6.0,38.0676,494.3,119.0,1471.5,-69.60000000000001,2.89857,531.95,0.083945,8.6357,21.699150000000003,0.254635,2.05,338.9775,2.585,29.0,0.71,907.0,27.4,8.280000000000001,Barguna,Amtoli,22.132,90.2283,2020-2021,BNAMLW-2_Medium (50–150m),-11.37193070064801,FAIL
BNAMLW-2,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BNAMLW-2_Shallow (<50m),,NO_DATA
BNAMLW-2,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BNAMLW-2_Shallow (<50m),,NO_DATA
BNAMLW-3,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BNAMLW-3_Deep (>150m),,NO_DATA
BNAMLW-3,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BNAMLW-3_Deep (>150m),,NO_DATA
BNAMLW-3,Medium (50–150m),3.75,,0.165,9.0,55.0,697.5,101.0,3120.0,-26.35,8.565,201.3,0.45,28.064999999999998,80.0,0.35,6.05,453.75,0.75,0.0,1.7,1687.1,28.049999999999997,7.475,Barguna,Amtoli,22.13289,90.23818,2012-2013,BNAMLW-3_Medium (50–150m),12.538420310744092,FAIL
BNAMLW-3,Medium (50–150m),36.7312,1.6,0.728,18.0,39.00515,1027.175,101.0,4465.5,-68.7,6.934559999999999,329.4,0.189845,35.5595,54.14705,0.131285,2.3,719.3845,4.665,64.0,2.3200000000000003,2805.0,26.775,8.25,Barguna,Amtoli,22.1329,90.2282,2020-2021,BNAMLW-3_Medium (50–150m),3.1424925108410258,PASS
BNAMLW-3,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BNAMLW-3_Shallow (<50m),,NO_DATA
BNAMLW-3,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BNAMLW-3_Shallow (<50m),,NO_DATA
BNAMLW-4,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BNAMLW-4_Deep (>150m),,NO_DATA
BNAMLW-4,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BNAMLW-4_Deep (>150m),,NO_DATA
BNAMLW-4,Medium (50–150m),1.25,,0.16,3.0,125.0,1865.0,113.0,4410.0,-23.8,7.57,210.45,0.35,11.39,125.0,0.25,2.55,636.4000000000001,0.33999999999999997,0.0,2.435,2399.15,27.6,7.3100000000000005,Barguna,Amtoli,22.13129,90.24446,2012-2013,BNAMLW-4_Medium (50–150m),-11.317619265071729,FAIL
BNAMLW-4,Medium (50–150m),7.459950000000001,0.95,0.47150000000000003,12.0,130.90449999999998,1028.0,113.0,4074.5,-47.3,8.989335,262.3,0.12115999999999999,36.286,50.35555,1.308645,1.75,522.6855,4.494999999999999,28.5,2.05,2559.0,27.35,8.265,Barguna,Amtoli,22.1313,90.2445,2020-2021,BNAMLW-4_Medium (50–150m),0.3623826827866256,PASS
BNAMLW-4,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BNAMLW-4_Shallow (<50m),,NO_DATA
BNAMLW-4,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BNAMLW-4_Shallow (<50m),,NO_DATA
BNAMLW-5,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BNAMLW-5_Deep (>150m),,NO_DATA
BNAMLW-5,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BNAMLW-5_Deep (>150m),,NO_DATA
BNAMLW-5,Medium (50–150m),3.75,,0.115,6.0,45.0,2455.0,101.0,6315.0,-28.9,1.7999999999999998,170.8,0.4,16.555,82.5,0.25,4.7,1177.0,0.39999999999999997,2.0,3.3499999999999996,3536.3999999999996,27.45,7.585,Barguna,Amtoli,22.12954,90.24976,2012-2013,BNAMLW-5_Medium (50–150m),-8.751368273167907,PASS
BNAMLW-5,Medium (50–150m),0.29235,1.0,0.9945,12.0,47.434075,368.25,101.0,1119.5,-55.25,2.810165,345.95,0.10627,7.769500000000001,25.04598,0.099305,1.5,194.27800000000002,3.485,32.5,0.51,699.0,27.3,8.215,Barguna,Amtoli,22.1295,90.2498,2020-2021,BNAMLW-5_Medium (50–150m),-13.419148105244943,FAIL
BNAMLW-5,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BNAMLW-5_Shallow (<50m),,NO_DATA
BNAMLW-5,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BNAMLW-5_Shallow (<50m),,NO_DATA
BNAMPZ-1,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BNAMPZ-1_Deep (>150m),,NO_DATA
BNAMPZ-1,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BNAMPZ-1_Deep (>150m),,NO_DATA
BNAMPZ-1,Medium (50–150m),1.25,0.9500000000000001,0.30500000000000005,0.75,44.795,5250.0,67.0,13800.0,-34.35,8.24,219.6,0.485,6.425000000000001,22.22,0.38749999999999996,21.226300000000002,1527.535,0.872,8.155,7.800000000000001,7400.0,29.15,7.609999999999999,Barguna,Amtali,22.424505,90.22582,2012-2013,BNAMPZ-1_Medium (50–150m),-36.40505679850932,FAIL
BNAMPZ-1,Medium (50–150m),1.96402,1.2,0.125,24.0,36.77615,457.8,98.0,1875.5,-49.2,2.64839,414.8,0.07639000000000001,12.506499999999999,40.27615,0.651225,1.8499999999999999,350.6905,1.3,29.114,0.9199999999999999,1178.5,26.85,8.265,Barguna,Amtali,22.70528,90.22582,2020-2021,BNAMPZ-1_Medium (50–150m),-0.823195854576719,PASS
BNAMPZ-1,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BNAMPZ-1_Shallow (<50m),,NO_DATA
BNAMPZ-1,Shallow (<50m),3.955775,1.6,0.125,6.0,33.748205,319.05,30.0,1045.5,-78.1,0.085205,283.75,0.109295,2.193,14.568835,0.077395,2.8,207.137,1.72,21.806,0.45499999999999996,647.5,27.25,8.094999999999999,Barguna,Amtali,22.70528,90.22595,2020-2021,BNAMPZ-1_Shallow (<50m),-9.288533468090614,PASS
BNAMPZ-2,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BNAMPZ-2_Deep (>150m),,NO_DATA
BNAMPZ-2,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BNAMPZ-2_Deep (>150m),,NO_DATA
BNAMPZ-2,Medium (50–150m),3.75,0.45,0.305,3.0,48.230000000000004,498.5,128.0,1866.5,-48.25,2.95,393.45,0.805,11.34,46.379999999999995,0.22749999999999998,1.47515,191.79999999999998,0.5643,4.125,1.0150000000000001,1045.0,28.8,7.9,Barguna,Amtali,22.42454,90.22588,2012-2013,BNAMPZ-2_Medium (50–150m),-16.149741919358696,FAIL
BNAMPZ-2,Medium (50–150m),2.7909,0.8999999999999999,0.22499999999999998,0.0,639.5845,10357.5,127.0,17140.5,-52.6,7.67561,298.9,0.042905,129.47,254.8837,0.252195,6.75,4724.83,3.88,33.5,19.130000000000003,19915.0,26.799999999999997,8.254999999999999,Barguna,Amtali,22.70528,90.22588,2020-2021,BNAMPZ-2_Medium (50–150m),-6.423807198232244,PASS
BNAMPZ-2,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BNAMPZ-2_Shallow (<50m),,NO_DATA
BNAMPZ-2,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BNAMPZ-2_Shallow (<50m),,NO_DATA
BNAMPZ-3,Deep (>150m),0.0,0.8500000000000001,0.325,3.0,5.261,50.25,299.0,914.0,-72.0,0.405,506.3,0.33999999999999997,2.71,2.2962499999999997,0.185,0.1257,321.55,1.5693,8.355,0.445,493.4,28.0,8.19,Barguna,Amtali,22.424535,90.22629,2012-2013,BNAMPZ-3_Deep (>150m),18.266660879621117,FAIL
BNAMPZ-3,Deep (>150m),4.6194749999999996,1.5,0.21500000000000002,24.0,57.004549999999995,520.25,336.0,1857.5,-74.1,3.4527850000000004,411.75,0.16023,14.259999999999998,38.2679,0.868285,1.25,367.3915,0.8099999999999999,28.4815,0.88,1149.5,26.814999999999998,8.245,Barguna,Amtali,22.70528,90.22673,2020-2021,BNAMPZ-3_Deep (>150m),-0.8090845126861207,PASS
BNAMPZ-3,Medium (50–150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BNAMPZ-3_Medium (50–150m),,NO_DATA
BNAMPZ-3,Medium (50–150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BNAMPZ-3_Medium (50–150m),,NO_DATA
BNAMPZ-3,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BNAMPZ-3_Shallow (<50m),,NO_DATA
BNAMPZ-3,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BNAMPZ-3_Shallow (<50m),,NO_DATA
BNAMPZ-4,Deep (>150m),0.0,0.8500000000000001,0.32999999999999996,3.0,37.074999999999996,179.0,336.0,882.0,-96.30000000000001,0.305,420.9,0.415,2.358,62.35,0.056874999999999995,0.3086,195.0125,1.2791000000000001,19.82,0.42500000000000004,456.85,28.35,8.615,Barguna,Amtali,22.424615,90.22629,2012-2013,BNAMPZ-4_Deep (>150m),10.810820770102007,FAIL
BNAMPZ-4,Deep (>150m),2.166095,0.75,0.15000000000000002,18.0,88.13786,623.2,299.0,939.5,-21.1,0.464035,280.7,0.129295,14.994349999999999,43.71510000000001,0.079495,2.35,260.7855,2.005,26.5,0.395,537.0,26.85,8.205,Barguna,Amtali,22.70528,90.22585,2020-2021,BNAMPZ-4_Deep (>150m),-8.545687355220428,PASS
BNAMPZ-4,Medium (50–150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BNAMPZ-4_Medium (50–150m),,NO_DATA
BNAMPZ-4,Medium (50–150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BNAMPZ-4_Medium (50–150m),,NO_DATA
BNAMPZ-4,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BNAMPZ-4_Shallow (<50m),,NO_DATA
BNAMPZ-4,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BNAMPZ-4_Shallow (<50m),,NO_DATA
BNBN1LW-1,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BNBN1LW-1_Deep (>150m),,NO_DATA
BNBN1LW-1,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BNBN1LW-1_Deep (>150m),,NO_DATA
BNBN1LW-1,Medium (50–150m),5.0,,0.07,9.0,70.0,2070.0,102.0,5685.0,-39.650000000000006,3.87,161.65,0.4,14.51,85.0,0.2,4.35,1026.25,0.365,0.0,3.2,3061.2,28.15,7.535,Barguna,Barguna Sadar 1,22.1498,90.20628,2012-2013,BNBN1LW-1_Medium (50–150m),-4.932834902861306,PASS
