ID_norm,Depth_bin,As,B,Br,CO3,Ca,Cl,Depth,EC,Eh,Fe,HCO3,I,K,Mg,Mn,NO3,Na,PO4,SO4,Salinity,TDS,Temperature,pH,District,Upazila,Latitude,Longitude,Period,pair_key,CBE,CBE_flag
BABAPZ-1,Deep (>150m),1.25,0.0,0.305,9.75,41.5,195.0,175.0,987.0,-54.2,1.54,161.64999999999998,0.61,4.948,16.825,0.045,0.5599999999999999,228.0,2.3890000000000002,11.925,0.5,523.3,26.9,7.890000000000001,Bagerhat,Bagerhat Sadar,22.70538,89.6917,2012-2013,BABAPZ-1_Deep (>150m),21.235243161822524,FAIL
BABAPZ-1,Deep (>150m),5.222099999999999,0.2,0.24,12.0,68.5503,560.75,175.0,1344.0,-19.25,5.333695,423.95,0.46549999999999997,5.816,20.73525,0.1028,1.2,372.608,0.5599999999999999,43.8455,0.63,846.5,26.950000000000003,7.6,Bagerhat,Bagerhat Sadar,22.71,89.69,2020-2021,BABAPZ-1_Deep (>150m),-5.3210114216494,PASS
BABAPZ-1,Medium (50–150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BABAPZ-1_Medium (50–150m),,NO_DATA
BABAPZ-1,Medium (50–150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BABAPZ-1_Medium (50–150m),,NO_DATA
BABAPZ-1,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BABAPZ-1_Shallow (<50m),,NO_DATA
BABAPZ-1,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BABAPZ-1_Shallow (<50m),,NO_DATA
BABAPZ-2,Deep (>150m),0.0,0.45,0.265,4.5,11.675,270.5,240.0,1236.5,-56.900000000000006,0.72,314.15,0.6100000000000001,6.425,18.07,0.22,0.44999999999999996,369.4,0.479,7.035,0.6,614.5,26.9,7.904999999999999,Bagerhat,Bagerhat Sadar,22.70534,89.6918,2012-2013,BABAPZ-2_Deep (>150m),16.665131671288872,FAIL
BABAPZ-2,Deep (>150m),8.665825,0.1,0.7310000000000001,0.0,105.8545,362.95,240.0,1278.0,-68.8,3.479415,317.2,0.51779,6.79235,27.473750000000003,0.502575,1.6,243.32150000000001,0.675,42.809,0.6499999999999999,846.0,27.45,7.84,Bagerhat,Bagerhat Sadar,22.70538,89.6917,2020-2021,BABAPZ-2_Deep (>150m),5.942687818377223,PASS
BABAPZ-2,Medium (50–150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BABAPZ-2_Medium (50–150m),,NO_DATA
BABAPZ-2,Medium (50–150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BABAPZ-2_Medium (50–150m),,NO_DATA
BABAPZ-2,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BABAPZ-2_Shallow (<50m),,NO_DATA
BABAPZ-2,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BABAPZ-2_Shallow (<50m),,NO_DATA
BABAPZ-3,Deep (>150m),0.0,0.5,0.305,18.75,7.37,255.0,278.0,1204.0,-62.55,0.8300000000000001,289.75,0.645,5.399,19.295,0.185,8.625,262.49,0.3531,6.785,0.6499999999999999,682.5,28.0,8.085,Bagerhat,Bagerhat Sadar,22.70528,89.69202,2012-2013,BABAPZ-3_Deep (>150m),2.612786248145832,PASS
BABAPZ-3,Deep (>150m),3.5274349999999997,0.25,0.304,24.0,36.6434,390.85,278.0,3520.5,-13.95,3.40932,393.45,0.220055,7.448650000000001,24.296300000000002,0.8361200000000001,1.25,317.039,0.835,43.8905,1.85,2250.5,27.049999999999997,7.59,Bagerhat,Bagerhat Sadar,22.70534,89.6918,2020-2021,BABAPZ-3_Deep (>150m),-3.418953236341524,PASS
BABAPZ-3,Medium (50–150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BABAPZ-3_Medium (50–150m),,NO_DATA
BABAPZ-3,Medium (50–150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BABAPZ-3_Medium (50–150m),,NO_DATA
BABAPZ-3,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BABAPZ-3_Shallow (<50m),,NO_DATA
BABAPZ-3,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BABAPZ-3_Shallow (<50m),,NO_DATA
BHBHLW-1,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BHBHLW-1_Deep (>150m),,NO_DATA
BHBHLW-1,Deep (>150m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BHBHLW-1_Deep (>150m),,NO_DATA
BHBHLW-1,Medium (50–150m),7.5,,0.12,18.0,24.96,575.0,98.0,2390.0,-23.3,2.28,225.7,0.2,2.59,59.85,0.1,2.8,405.2,0.43,0.0,1.33,1338.4,28.3,7.4,Bhola,Bhola Sadar,22.7056,90.566,2012-2013,BHBHLW-1_Medium (50–150m),7.570859713816001,PASS
BHBHLW-1,Medium (50–150m),4.47147,0.2,0.20500000000000002,3.0,92.09525,1051.9,98.0,2268.0,47.550000000000004,7.374015,220.25,0.331375,11.174,42.40845,0.179065,1.75,587.1065,1.405,20.7855,7.235,1409.0,28.6,7.949999999999999,Bhola,Bhola Sadar,22.635745,90.56574499999999,2020-2021,BHBHLW-1_Medium (50–150m),0.43208312552610745,PASS
BHBHLW-1,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-2013,BHBHLW-1_Shallow (<50m),,NO_DATA
BHBHLW-1,Shallow (<50m),,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-2021,BHBHLW-1_Shallow (<50m),,NO_DATA
